time_start,time_end,tx_gain
1754584098800,1754584124800,52
1754584190800,1754584204800,49
1754584304800,1754584329800,50
1754584389800,1754584400800,52
1754584436800,1754584465800,51
1754584499800,1754584528800,49
1754584565800,1754584586800,49
1754584671800,1754584689800,49
1754584779800,1754584790800,50
1754584830800,1754584852800,52
1754584958800,1754584982800,52
1754585083800,1754585111800,50
1754585166800,1754585196800,52
1754585313800,1754585329800,51
1754585388800,1754585417800,52
1754585496800,1754585523800,49
1754585605800,1754585634800,49
1754585708800,1754585724800,49
1754585779800,1754585792800,52
1754585843800,1754585867800,50
1754585946800,1754585968800,51
1754586071800,1754586097800,50
1754586125800,1754586143800,52
1754586168800,1754586183800,51
1754586211800,1754586225800,49
1754586274800,1754586294800,52
1754586379800,1754586405800,52
1754586515800,1754586538800,49
1754586587800,1754586611800,50
1754586657800,1754586676800,50
1754586763800,1754586775800,51
