Time (UNIX Epoch),Is Radio On,TX Gain,Duration (s),Bandwidth,Sample Rate,Center Frequency,Low Frequency,High Frequency
1757429049.177322,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429109.581238,0,0,57.046,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429166.581274,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429226.581034,0,0,35.943,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429262.581377,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429322.580788,0,0,33.958,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429356.581390,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429416.581081,0,0,54.624,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429471.581063,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429531.580961,0,0,54.944,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429586.581307,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429646.580903,0,0,55.708,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429702.580926,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429762.580848,0,0,34.132,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429796.581248,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429856.581497,0,0,50.208,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429906.581322,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757429966.581095,0,0,58.742,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430025.580883,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430085.580873,0,0,54.579,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430140.580771,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
