Time (UNIX ms),Is Jamming,Jammer TX Gain,Reporting Time Offset (ms),UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP.Mean (dBm),RSRP.Minimum (dBm),RSRP.Quartile1 (dBm),RSRP.Median (dBm),RSRP.Quartile3 (dBm),RSRP.Maximum (dBm),RSRP.Count,PHY.NPrbDl,PHY.DerivedRssiDl (dBm),PHY.DerivedRsrqDl (dB),PUSCH.Snr (dB),PUCCH.Snr (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,DRB.DerivedCQIDl,PHY.CqiWb1TbDl,PHY.CqiWb2TbDl,
1754584082800,,,0,39,0,0,0.00,0.74,0.74,80,253,-63.85,-64.00,-64.00,-64.00,-64.00,-63.00,13,5,-46.06,6.93,59.50,30.00,0,0,0.02,0.05,0.00,0.00,0.00,0.00,0,0,0,
1754584083800,,,0,39,0,0,0.00,0.74,0.74,80,255,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.50,31.00,0,0,0.01,0.04,0.00,0.00,0.00,0.00,0,0,0,
1754584084800,,,0,39,0,0,0.00,0.74,0.74,80,270,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,60.00,30.00,1,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1754584085800,,,0,39,0,0,0.00,0.74,0.74,80,275,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.50,30.00,1,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1754584086800,,,0,39,0,0,0.00,0.74,0.78,80,265,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,60.00,30.00,1,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1754584087800,,,0,39,0,0,0.00,0.74,0.74,40,258,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,40.00,30.00,2,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1754584088800,,,0,39,0,0,0.00,0.74,0.74,80,252,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,39.50,33.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1754584089800,,,0,39,0,0,0.00,0.74,0.74,80,270,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,32.00,1,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1754584090800,,,0,39,0,0,0.00,0.74,0.74,80,255,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,40.00,35.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584091800,,,0,39,0,0,0.00,0.74,0.78,80,261,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,35.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584092800,,,0,39,0,0,0.00,0.74,0.82,40,269,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.50,35.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584093800,,,0,39,0,0,0.00,0.74,0.78,80,231,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.50,35.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584094800,,,0,39,0,0,0.00,0.74,0.74,40,270,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,39.00,34.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584095800,,,0,39,0,0,0.00,0.74,0.78,80,216,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,38.00,33.00,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584096800,,,0,39,0,0,0.00,0.74,0.78,40,204,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,60.00,31.00,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584097800,,,0,39,0,0,0.00,0.74,0.78,80,231,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,38.00,33.00,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1754584098800,1,52,0,39,0,0,0.00,0.02,0.14,15,542,,,,,,,0,5,,0.00,37.50,33.00,2,0,0.08,0.00,0.09,0.00,0.00,0.00,0,0,0,
1754584099800,1,52,0,39,0,0,0.00,0.12,0.42,35,1921,,,,,,,0,5,,0.00,36.50,32.00,0,0,0.19,0.00,0.41,0.00,0.00,0.00,0,0,0,
1754584100800,1,52,0,39,0,0,34.00,1.36,1.46,74,2680,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,1,5,-46.22,6.92,37.00,32.00,0,0,0.20,0.00,0.71,0.00,0.00,0.00,0,0,0,
1754584101800,1,52,0,39,0,0,0.00,5.24,0.00,408,1290,,,,,,,0,5,,0.00,39.00,32.00,0,0,0.33,0.00,0.74,0.00,0.00,0.00,0,0,0,
1754584102800,1,52,0,39,0,0,0.00,11.02,0.09,425,50,,,,,,,0,5,,0.00,39.00,32.00,0,0,0.12,0.01,0.74,0.00,0.00,0.00,0,0,0,
1754584103800,1,52,0,39,0,0,0.00,1.54,0.99,182,691,,,,,,,0,21,,0.00,31.50,33.00,0,1,0.05,0.00,0.75,0.00,0.00,0.00,1,0,0,
1754584104800,1,52,0,39,2,2,0.00,3.91,2.30,360,2511,,,,,,,0,5,,0.00,39.00,39.00,0,1,0.23,0.00,0.79,0.00,0.00,0.00,1,0,0,
1754584105800,1,52,0,39,0,0,0.00,14.44,0.00,441,45,,,,,,,0,5,,0.00,39.50,32.00,0,1,0.12,0.03,0.79,0.00,0.00,0.00,1,0,0,
1754584106800,1,52,0,39,0,0,0.00,9.12,0.30,277,50,,,,,,,0,5,,0.00,39.00,34.00,0,1,0.04,0.02,0.78,0.00,0.00,0.00,1,0,0,
1754584107800,1,52,0,39,0,0,0.00,0.00,0.73,5,50,,,,,,,0,5,,0.00,37.50,33.00,0,0,0.01,0.02,0.78,0.00,0.00,0.00,0,0,0,
1754584108800,1,52,0,39,0,0,0.00,2.16,0.80,192,696,,,,,,,0,5,,0.00,34.50,32.00,0,0,0.00,0.01,0.79,0.00,0.00,0.00,0,0,0,
1754584109800,1,52,0,39,2,2,0.00,9.54,2.58,464,2516,,,,,,,0,5,,0.00,38.00,35.00,0,3,0.16,0.02,0.82,0.01,0.00,0.00,3,0,0,
