Time (UNIX ms),Reporting Time Offset (ms),E2 Node ID,UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP.Mean (dBm),RSRP.Minimum (dBm),RSRP.Quartile1 (dBm),RSRP.Median (dBm),RSRP.Quartile3 (dBm),RSRP.Maximum (dBm),RSRP.Count,PHY.NPrbDl,PHY.DerivedRssiDl (dBm),PHY.DerivedRsrqDl (dB),PUSCH.Snr (dB),PUCCH.Snr (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,DRB.DerivedCQIDl,PHY.CqiWb1TbDl,PHY.CqiWb2TbDl,
1763397713250,-1,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.01,0.07,0.00,0.00,0.00,0.00,0,0,0,
1763397714250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.50,25.00,0,0,0.01,0.07,0.00,0.00,0.00,0.00,0,0,0,
1763397715250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.06,0.00,0.00,0.00,0.00,0,0,0,
1763397716250,1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.06,0.00,0.00,0.00,0.00,0,0,0,
1763397717250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.05,0.00,0.00,0.00,0.00,0,0,0,
1763397718250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.05,0.00,0.00,0.00,0.00,0,0,0,
1763397719250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.05,0.00,0.00,0.00,0.00,0,0,0,
1763397720250,0,gNB,1,0,0,0.00,0.02,0.43,5,252,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,25.00,1,0,0.00,0.04,0.00,0.00,0.00,0.00,0,0,0,
1763397721250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,22.50,25.00,0,0,0.00,0.04,0.00,0.00,0.00,0.00,0,0,0,
1763397722250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.04,0.00,0.00,0.00,0.00,0,0,0,
