Time (UNIX ms),UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP.Mean (dBm),RSRP.Minimum (dBm),RSRP.Quartile1 (dBm),RSRP.Median (dBm),RSRP.Quartile3 (dBm),RSRP.Maximum (dBm),RSRP.Count,N_PRB,RSSI (dBm),RSRQ (dB),PUSCH_SNR (dB),PUCCH_SNR (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,CQI_SINGLE_CODEWORD,CQI_DUAL_CODEWORD,
1749053063543,6,0,0,0.00,0.00,0.00,10,116,-71.93,-82.00,-82.00,-71.00,-66.00,-66.00,15,5,-54.15,6.64,23.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053064543,6,0,0,0.00,0.00,0.00,10,116,-71.93,-82.00,-82.00,-71.00,-66.00,-66.00,15,5,-54.15,6.64,23.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053065543,6,0,0,0.00,0.00,0.00,10,116,-71.19,-82.00,-82.00,-66.00,-66.00,-65.00,16,5,-53.41,6.66,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053066543,6,0,0,0.00,0.00,0.00,10,111,-71.00,-82.00,-82.00,-66.00,-66.00,-66.00,16,5,-53.22,6.67,21.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053067543,6,0,0,0.00,0.00,0.00,10,116,-70.20,-82.00,-71.00,-66.00,-66.00,-66.00,15,5,-52.42,6.70,21.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053068543,6,0,0,0.00,0.00,0.00,10,116,-70.20,-82.00,-71.00,-66.00,-66.00,-66.00,15,5,-52.42,6.70,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053069543,6,0,0,0.00,0.00,0.00,10,116,-72.67,-82.00,-82.00,-71.00,-66.00,-66.00,15,5,-54.89,6.62,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053070543,6,0,0,0.00,0.00,0.00,10,116,-70.60,-82.00,-82.00,-66.00,-66.00,-66.00,15,5,-52.82,6.68,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053071543,6,0,0,0.00,0.00,0.00,10,111,-70.00,-82.00,-74.00,-66.00,-66.00,-66.00,16,5,-52.22,6.70,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053072543,6,7,6,0.00,8.40,7.50,279,738,-70.00,-82.00,-74.00,-66.00,-66.00,-66.00,16,5,-52.22,6.70,22.50,46.00,0,0,0.07,0.00,0.00,0.00,0.00,0.00,0,0,
1749053073543,6,0,0,0.00,0.00,0.00,10,116,-70.00,-82.00,-74.00,-66.00,-66.00,-66.00,16,5,-52.22,6.70,23.00,44.00,0,0,0.03,0.00,0.00,0.00,0.00,0.00,0,0,
1749053074543,6,0,0,0.00,0.00,0.00,10,116,-72.31,-82.00,-82.00,-66.00,-66.00,-66.00,16,5,-54.53,6.63,23.00,44.00,0,0,0.01,0.00,0.00,0.00,0.00,0.00,0,0,
1749053075543,6,0,0,0.00,0.00,0.00,10,116,-76.13,-102.00,-82.00,-66.00,-66.00,-66.00,15,5,-58.35,6.52,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053076543,6,0,0,0.00,0.00,0.00,10,111,-74.87,-82.00,-82.00,-82.00,-66.00,-66.00,15,5,-57.09,6.56,22.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053077543,6,0,0,0.00,0.00,0.00,10,116,-85.88,-100.00,-100.00,-82.00,-74.00,-66.00,16,5,-68.09,6.31,22.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053078543,6,0,0,0.00,0.00,0.00,10,116,-85.88,-100.00,-100.00,-82.00,-74.00,-66.00,16,5,-68.09,6.31,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053079543,6,0,0,0.00,0.00,0.00,10,116,-84.07,-100.00,-100.00,-82.00,-71.00,-66.00,15,5,-66.29,6.34,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053080543,6,0,0,0.00,0.00,0.00,10,116,-78.67,-100.00,-82.00,-82.00,-66.00,-66.00,15,5,-60.89,6.46,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053081543,6,0,0,0.00,0.00,0.00,10,111,-79.69,-100.00,-82.00,-82.00,-71.00,-71.00,16,5,-61.91,6.44,21.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053082543,6,0,0,0.00,0.00,0.00,10,116,-79.69,-100.00,-82.00,-82.00,-71.00,-71.00,16,5,-61.91,6.44,22.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053083543,6,0,0,0.00,0.00,0.00,10,116,-74.25,-82.00,-82.00,-71.00,-66.00,-66.00,16,5,-56.47,6.57,22.00,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053084543,6,0,0,0.00,0.00,0.00,10,116,-73.56,-82.00,-82.00,-71.00,-66.00,-66.00,16,5,-55.78,6.59,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053085543,6,0,0,0.00,0.00,0.00,10,116,-74.73,-82.00,-82.00,-71.00,-71.00,-66.00,15,5,-56.95,6.56,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053086543,6,0,0,0.00,0.00,0.00,10,111,-76.88,-82.00,-82.00,-82.00,-71.00,-66.00,16,5,-59.09,6.50,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053087543,6,0,0,0.00,0.00,0.00,10,116,-76.88,-82.00,-82.00,-82.00,-71.00,-66.00,16,5,-59.09,6.50,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053088543,6,0,0,0.00,0.00,0.00,10,116,-77.60,-82.00,-82.00,-82.00,-71.00,-71.00,15,5,-59.82,6.49,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053089543,6,0,0,0.00,0.00,0.00,10,116,-78.33,-82.00,-82.00,-82.00,-71.00,-71.00,15,5,-60.55,6.47,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053090543,6,0,0,0.00,0.00,0.00,10,116,-77.38,-82.00,-82.00,-82.00,-71.00,-66.00,13,5,-59.60,6.49,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053091543,6,0,0,0.00,0.00,0.00,10,111,-77.38,-82.00,-82.00,-82.00,-71.00,-66.00,13,5,-59.60,6.49,22.50,43.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053092543,6,0,0,0.00,0.00,0.00,10,116,-74.15,-82.00,-82.00,-71.00,-66.00,-66.00,13,5,-56.37,6.58,21.50,44.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053093543,6,0,0,0.00,0.00,0.00,10,116,-71.53,-82.00,-82.00,-66.00,-66.00,-65.00,15,5,-53.75,6.65,21.50,44.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053094543,6,0,0,0.00,0.00,0.00,10,116,-72.07,-82.00,-82.00,-66.00,-66.00,-66.00,14,5,-54.29,6.64,21.00,43.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053095543,6,0,0,0.00,0.00,0.00,10,116,-75.56,-82.00,-82.00,-82.00,-66.00,-65.00,16,5,-57.78,6.54,21.00,43.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053096543,6,0,0,0.00,0.00,0.00,10,111,-75.56,-82.00,-82.00,-82.00,-66.00,-65.00,16,28,-50.30,42.06,24.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053097543,6,0,0,0.00,0.00,0.00,10,116,-71.67,-82.00,-82.00,-66.00,-66.00,-66.00,15,28,-46.40,43.24,24.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053098543,6,0,0,0.00,0.00,0.00,10,116,-70.80,-82.00,-82.00,-66.00,-66.00,-66.00,10,28,-45.54,43.53,24.50,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053099543,6,0,0,0.00,0.00,0.00,10,116,-68.31,-82.00,-66.00,-66.00,-66.00,-65.00,13,28,-43.04,44.43,24.50,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053100543,6,0,0,0.00,0.00,0.00,10,116,-68.31,-82.00,-66.00,-66.00,-66.00,-65.00,13,28,-43.04,44.43,24.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053101543,6,0,0,0.00,0.00,0.00,5,83,-68.13,-82.00,-66.00,-66.00,-66.00,-66.00,15,5,-50.35,6.77,20.50,46.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053102543,6,0,0,0.00,0.00,0.00,10,78,-69.20,-82.00,-66.00,-66.00,-66.00,-66.00,15,5,-51.42,6.73,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053103543,6,0,0,0.00,0.00,0.00,10,116,-68.88,-82.00,-74.00,-66.00,-66.00,-48.00,16,5,-51.09,6.74,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053104543,6,0,0,0.00,0.00,0.00,10,116,-66.00,-66.00,-66.00,-66.00,-66.00,-66.00,16,5,-48.22,6.84,22.50,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053105543,6,0,0,0.00,0.00,0.00,10,116,-66.00,-66.00,-66.00,-66.00,-66.00,-66.00,16,5,-48.22,6.84,22.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053106543,6,0,0,0.00,0.00,0.00,10,116,-66.00,-66.00,-66.00,-66.00,-66.00,-66.00,16,5,-48.22,6.84,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053107543,6,0,0,0.00,0.00,0.00,10,111,-69.25,-102.00,-66.00,-66.00,-66.00,-66.00,16,5,-51.47,6.73,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053108543,6,0,0,0.00,0.00,0.00,10,116,-66.94,-82.00,-66.00,-66.00,-66.00,-65.00,16,5,-49.16,6.81,20.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053109543,6,2,2,0.00,2.88,3.08,109,829,-67.94,-82.00,-66.00,-66.00,-66.00,-65.00,16,5,-50.16,6.77,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053110543,6,0,0,0.00,0.00,0.00,10,116,-67.94,-82.00,-66.00,-66.00,-66.00,-65.00,16,5,-50.16,6.77,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053111543,6,0,0,0.00,0.00,0.00,10,116,-65.88,-66.00,-66.00,-66.00,-66.00,-65.00,16,5,-48.09,6.85,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053112543,6,0,0,0.00,0.00,0.00,10,111,-65.88,-66.00,-66.00,-66.00,-66.00,-65.00,16,5,-48.09,6.85,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053113543,6,0,0,0.00,0.00,0.00,10,116,-70.25,-102.00,-66.00,-66.00,-65.50,-65.00,16,5,-52.47,6.69,25.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053114543,6,0,0,0.00,0.00,0.00,10,116,-70.25,-102.00,-66.00,-66.00,-65.50,-65.00,16,5,-52.47,6.69,24.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053115543,6,0,0,0.00,0.00,0.00,10,116,-69.80,-82.00,-82.00,-66.00,-65.00,-65.00,15,5,-52.02,6.71,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053116543,6,0,0,0.00,0.00,0.00,10,116,-73.00,-100.00,-74.00,-66.00,-65.00,-65.00,16,5,-55.22,6.61,23.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053117543,6,0,0,0.00,0.00,0.00,10,111,-72.33,-100.00,-82.00,-66.00,-66.00,-65.00,15,5,-54.55,6.63,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053118543,6,0,0,0.00,0.00,0.00,10,116,-70.80,-102.00,-71.00,-66.00,-66.00,-65.00,15,5,-53.02,6.68,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053119543,6,0,0,0.00,0.00,0.00,10,116,-70.80,-102.00,-71.00,-66.00,-66.00,-65.00,15,5,-53.02,6.68,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053120543,6,0,0,0.00,0.00,0.00,10,116,-70.88,-82.00,-82.00,-66.00,-66.00,-65.00,16,5,-53.09,6.67,23.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053121543,6,0,0,0.00,0.00,0.00,10,116,-71.81,-82.00,-82.00,-66.00,-66.00,-65.00,16,5,-54.03,6.65,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053122543,6,0,0,0.00,0.00,0.00,10,111,-72.56,-102.00,-82.00,-66.00,-65.00,-65.00,16,5,-54.78,6.62,23.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053123543,6,0,0,0.00,0.00,0.00,10,116,-72.56,-102.00,-82.00,-66.00,-65.00,-65.00,16,5,-54.78,6.62,23.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053124543,6,0,0,0.00,0.00,0.00,10,116,-73.50,-82.00,-82.00,-71.00,-66.00,-65.00,14,5,-55.72,6.60,23.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053125543,6,0,0,0.00,0.00,0.00,10,116,-77.50,-100.00,-82.00,-82.00,-66.00,-65.00,16,5,-59.72,6.49,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053126543,6,0,0,0.00,0.00,0.00,10,116,-73.50,-82.00,-82.00,-71.00,-66.00,-65.00,16,5,-55.72,6.60,21.50,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053127543,6,0,0,0.00,0.00,0.00,10,111,-71.81,-82.00,-82.00,-68.50,-66.00,-65.00,16,5,-54.03,6.65,23.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053128543,6,0,0,0.00,0.00,0.00,10,116,-71.81,-82.00,-82.00,-68.50,-66.00,-65.00,16,5,-54.03,6.65,23.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053129543,6,0,0,0.00,0.00,0.00,10,116,-71.56,-82.00,-76.50,-71.00,-66.00,-66.00,16,5,-53.78,6.65,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053130543,6,0,0,0.00,0.00,0.00,10,116,-75.50,-82.00,-82.00,-82.00,-66.00,-66.00,14,5,-57.72,6.54,24.00,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053131543,6,0,0,0.00,0.00,0.00,10,116,-71.43,-102.00,-71.00,-68.50,-66.00,-65.00,14,5,-53.65,6.66,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053132543,6,0,0,0.00,0.00,0.00,10,111,-71.43,-102.00,-71.00,-68.50,-66.00,-65.00,14,5,-53.65,6.66,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053133543,6,0,0,0.00,0.00,0.00,10,116,-75.36,-102.00,-71.00,-71.00,-71.00,-66.00,14,5,-57.58,6.54,22.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053134543,6,0,0,0.00,0.00,0.00,10,116,-71.79,-82.00,-71.00,-71.00,-71.00,-71.00,14,5,-54.00,6.65,23.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053135543,6,0,0,0.00,0.00,0.00,10,116,-74.67,-102.00,-82.00,-71.00,-66.00,-66.00,15,5,-56.89,6.56,23.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053136543,6,0,0,0.00,0.00,0.00,10,116,-77.62,-82.00,-82.00,-82.00,-71.00,-66.00,16,5,-59.84,6.49,22.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053137543,6,0,0,0.00,0.00,0.00,10,111,-77.62,-82.00,-82.00,-82.00,-71.00,-66.00,16,5,-59.84,6.49,23.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053138543,6,0,0,0.00,0.00,0.00,10,116,-78.00,-82.00,-82.00,-82.00,-74.00,-66.00,16,5,-60.22,6.48,23.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053139543,6,0,0,0.00,0.00,0.00,10,116,-77.31,-100.00,-82.00,-82.00,-66.00,-65.00,16,5,-59.53,6.49,22.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053140543,6,0,0,0.00,0.00,0.00,10,116,-71.06,-119.00,-82.00,-66.00,-66.00,-48.00,16,5,-53.28,6.67,24.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053141543,6,0,0,0.00,0.00,0.00,10,116,-71.07,-119.00,-82.00,-65.00,-65.00,-48.00,15,5,-53.29,6.67,25.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053142543,6,7,4,0.00,7.83,4.46,323,438,-71.07,-119.00,-82.00,-65.00,-65.00,-48.00,15,5,-53.29,6.67,26.00,45.00,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053143543,6,0,0,0.00,0.00,0.00,10,116,-73.33,-119.00,-82.00,-66.00,-65.00,-65.00,15,5,-55.55,6.60,25.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053144543,6,0,0,0.00,0.00,0.00,10,116,-79.47,-119.00,-82.00,-66.00,-65.00,-65.00,15,5,-61.69,6.44,23.50,45.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053145543,6,0,0,0.00,0.00,0.00,10,116,-66.75,-82.00,-66.00,-66.00,-65.50,-65.00,16,5,-48.97,6.82,20.50,45.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053146543,6,0,0,0.00,0.00,0.00,10,116,-66.75,-82.00,-66.00,-66.00,-65.50,-65.00,16,5,-48.97,6.82,22.00,45.00,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053147543,6,0,0,0.00,0.00,0.00,10,111,-70.12,-102.00,-66.00,-66.00,-65.00,-65.00,16,28,-44.86,43.77,24.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053148543,6,0,0,0.00,0.00,0.00,10,116,-71.75,-82.00,-82.00,-66.00,-65.50,-65.00,16,28,-46.49,43.22,24.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053149543,6,0,0,0.00,0.00,0.00,10,116,-76.44,-119.00,-82.00,-66.00,-65.00,-65.00,16,28,-51.17,41.82,23.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053150543,6,0,0,0.00,0.00,0.00,10,116,-75.27,-102.00,-100.00,-66.00,-66.00,-65.00,15,28,-50.00,42.15,24.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053151543,6,0,0,0.00,0.00,0.00,10,116,-75.27,-102.00,-100.00,-66.00,-66.00,-65.00,15,28,-50.00,42.15,24.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053152543,6,0,0,0.00,0.00,0.00,5,55,-72.93,-102.00,-66.00,-66.00,-66.00,-66.00,15,5,-55.15,6.61,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053153543,6,0,0,0.00,0.00,0.00,10,106,-78.88,-102.00,-100.00,-66.00,-66.00,-66.00,16,5,-61.09,6.46,24.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053154543,6,0,0,0.00,0.00,0.00,10,116,-79.50,-100.00,-91.00,-82.00,-66.00,-66.00,16,5,-61.72,6.44,23.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053155543,6,0,0,0.00,0.00,0.00,10,116,-79.50,-100.00,-91.00,-82.00,-66.00,-66.00,16,5,-61.72,6.44,23.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053156543,6,0,0,0.00,0.00,0.00,10,116,-81.62,-100.00,-100.00,-82.00,-66.00,-66.00,16,5,-63.84,6.39,23.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053157543,6,0,0,0.00,0.00,0.00,10,116,-87.00,-121.00,-82.00,-82.00,-82.00,-66.00,16,5,-69.22,6.28,24.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053158543,6,0,0,0.00,0.00,0.00,10,111,-79.94,-82.00,-82.00,-82.00,-82.00,-65.00,16,5,-62.16,6.43,23.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053159543,6,0,0,0.00,0.00,0.00,10,116,-77.81,-82.00,-82.00,-82.00,-74.00,-65.00,16,5,-60.03,6.48,25.00,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053160543,6,0,0,0.00,0.00,0.00,10,116,-77.81,-82.00,-82.00,-82.00,-74.00,-65.00,16,5,-60.03,6.48,23.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053161543,6,0,0,0.00,0.00,0.00,10,116,-77.81,-82.00,-82.00,-82.00,-74.00,-65.00,16,5,-60.03,6.48,24.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053162543,6,0,0,0.00,0.00,0.00,10,116,-80.94,-82.00,-82.00,-82.00,-82.00,-65.00,16,5,-63.16,6.41,24.50,41.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053163543,6,0,0,0.00,0.00,0.00,10,111,-82.00,-82.00,-82.00,-82.00,-82.00,-82.00,16,5,-64.22,6.38,23.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053164543,6,0,0,0.00,0.00,0.00,10,116,-82.00,-82.00,-82.00,-82.00,-82.00,-82.00,16,5,-64.22,6.38,23.00,41.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053165543,6,0,0,0.00,0.00,0.00,10,116,-79.88,-82.00,-82.00,-82.00,-82.00,-48.00,16,5,-62.09,6.43,23.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053166543,6,0,0,0.00,0.00,0.00,10,116,-82.00,-82.00,-82.00,-82.00,-82.00,-82.00,16,5,-64.22,6.38,22.50,42.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053167543,6,0,0,0.00,0.00,0.00,10,116,-82.00,-82.00,-82.00,-82.00,-82.00,-82.00,16,5,-64.22,6.38,22.50,41.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053168543,6,0,0,0.00,0.00,0.00,10,111,-82.00,-82.00,-82.00,-82.00,-82.00,-82.00,16,5,-64.22,6.38,23.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053169543,6,0,0,0.00,0.00,0.00,10,116,-82.00,-82.00,-82.00,-82.00,-82.00,-82.00,16,5,-64.22,6.38,23.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
