Time (UNIX ms),UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP.Mean (dBm),RSRP.Minimum (dBm),RSRP.Quartile1 (dBm),RSRP.Median (dBm),RSRP.Quartile3 (dBm),RSRP.Maximum (dBm),RSRP.Count,N_PRB,RSSI (dBm),RSRQ (dB),PUSCH_SNR (dB),PUCCH_SNR (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,CQI_SINGLE_CODEWORD,CQI_DUAL_CODEWORD,
1749053053544,6,8,4,0.00,8.86,4.70,918,5934,-75.77,-82.00,-82.00,-82.00,-66.00,-65.00,13,5,-57.99,6.53,23.50,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053054543,6,0,0,0.00,0.00,0.00,10,116,-76.00,-119.00,-82.00,-66.00,-66.00,-66.00,9,5,-58.22,6.53,21.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053055543,6,0,0,0.00,0.00,0.00,10,116,-76.00,-119.00,-82.00,-66.00,-66.00,-66.00,9,5,-58.22,6.53,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053056543,6,0,0,0.00,0.00,0.00,10,111,-72.18,-82.00,-82.00,-71.00,-66.00,-66.00,11,5,-54.40,6.63,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053057543,6,0,0,0.00,0.00,0.00,10,116,-70.57,-82.00,-82.00,-66.00,-66.00,-66.00,14,5,-52.79,6.68,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053058543,6,0,0,0.00,0.00,0.00,10,116,-77.60,-102.00,-82.00,-82.00,-66.00,-66.00,15,5,-59.82,6.49,22.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053059543,6,0,0,0.00,0.00,0.00,10,116,-77.60,-102.00,-82.00,-82.00,-66.00,-66.00,15,5,-59.82,6.49,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053060543,6,0,0,0.00,0.00,0.00,10,116,-71.38,-100.00,-76.50,-66.00,-66.00,-65.00,16,5,-53.59,6.66,22.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053061543,6,0,0,0.00,0.00,0.00,10,111,-69.69,-82.00,-74.00,-66.00,-65.00,-65.00,16,5,-51.91,6.71,21.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1749053062543,6,0,0,0.00,0.00,0.00,10,116,-69.19,-82.00,-68.50,-66.00,-66.00,-65.00,16,5,-51.41,6.73,21.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
