Time (UNIX ms),UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP (dBm),N_RSRP_MEAS,N_PRB,RSSI (dBm),RSRQ (dB),PUSCH_SNR (dB),PUCCH_SNR (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,CQI_SINGLE_CODEWORD,CQI_DUAL_CODEWORD,
1746812787041,17,0,0,0.00,0.00,0.00,5,50,-76.00,16,5,-58.22,6.53,19.00,17.00,0,0,0.00,0.01,0.01,0.46,nan,0.00,0,0,
1746812788041,17,0,0,0.00,0.00,0.00,5,50,-76.31,16,5,-58.53,6.52,18.00,17.00,0,0,0.00,0.01,0.01,0.45,nan,0.00,0,0,
1746812789041,17,0,0,0.00,0.00,0.00,5,50,-76.38,16,5,-58.59,6.52,19.00,16.00,0,0,0.00,0.01,0.01,0.44,nan,0.00,0,0,
1746812790041,17,0,0,0.00,0.00,0.00,5,50,-76.12,16,5,-58.34,6.52,18.50,18.00,0,0,0.00,0.00,0.01,0.43,nan,0.00,0,0,
1746812791041,17,0,0,0.00,0.00,0.00,5,50,-76.12,16,5,-58.34,6.52,19.00,13.00,0,0,0.00,0.00,0.01,0.43,nan,0.00,0,0,
1746812792041,17,0,0,0.00,0.00,0.00,5,50,-76.38,16,5,-58.59,6.52,18.00,16.00,0,0,0.00,0.00,0.01,0.42,nan,0.00,0,0,
1746812793041,17,0,0,0.00,0.00,0.00,5,50,-76.31,16,5,-58.53,6.52,18.50,15.00,0,0,0.00,0.00,0.01,0.41,nan,0.00,0,0,
1746812794041,17,27,143,0.00,33.18,146.26,1090,5886,-76.44,16,5,-58.66,6.52,18.50,17.00,5,0,0.00,0.00,0.00,0.10,0.00,0.00,0,0,
1746812795041,17,4,215,0.00,5.19,218.68,309,5114,-76.44,16,5,-58.66,6.52,17.50,17.00,6,1,0.18,0.00,0.19,0.08,0.00,0.00,0,0,
1746812796041,17,4,215,0.00,5.14,218.72,299,5666,-76.06,16,5,-58.28,6.53,17.50,15.00,5,0,0.07,0.00,0.13,0.07,0.00,0.00,0,0,
1746812797041,17,4,203,0.00,5.10,206.79,231,5244,-76.31,16,7,-57.07,9.36,17.50,15.00,8,0,0.07,0.00,0.13,0.06,0.00,0.00,0,0,
1746812798041,17,4,215,0.00,5.19,218.51,309,4603,-76.50,16,5,-58.72,6.51,17.50,14.00,7,0,0.10,0.00,0.17,0.05,0.00,0.00,0,0,
1746812799041,17,4,215,0.00,5.18,218.58,312,5421,-76.06,16,27,-50.96,40.30,15.00,16.00,7,0,0.08,0.00,0.16,0.05,0.00,0.00,0,0,
1746812800041,17,4,215,0.00,5.18,218.86,246,5040,-76.06,16,5,-58.28,6.53,18.50,16.00,7,0,0.11,0.00,0.16,0.04,0.00,0.00,0,0,
1746812801041,17,4,215,0.00,5.10,218.68,231,4533,-76.50,16,106,-45.46,178.40,20.50,14.00,8,0,0.05,0.00,0.15,0.04,0.00,0.00,0,0,
1746812802041,17,4,215,0.00,5.17,218.68,304,4939,-76.00,16,5,-58.22,6.53,18.00,14.00,6,0,0.10,0.00,0.16,0.04,0.00,0.00,0,0,
1746812803041,17,4,203,0.00,5.08,206.79,292,4821,-76.19,16,7,-56.94,9.37,18.50,17.00,8,0,0.07,0.00,0.16,0.03,0.00,0.00,0,0,
1746812804041,17,4,215,0.00,5.17,218.49,304,4548,-76.19,16,5,-58.41,6.52,19.50,14.00,6,0,0.09,0.00,0.17,0.03,0.00,0.00,0,0,
1746812805041,17,4,215,0.00,5.10,218.61,297,4811,-76.00,16,106,-44.96,179.20,20.50,18.00,8,0,0.08,0.00,0.17,0.03,0.00,0.00,0,0,
1746812806041,17,4,215,0.00,5.10,218.68,297,4791,-76.31,16,5,-58.53,6.52,19.00,17.00,6,0,0.10,0.00,0.17,0.03,0.00,0.00,0,0,
1746812807041,17,4,215,0.00,5.13,218.68,302,5436,-76.50,16,90,-46.17,149.14,21.00,15.00,7,0,0.05,0.00,0.16,0.03,0.00,0.00,0,0,
1746812808041,17,4,215,0.00,5.13,218.68,302,4826,-76.19,16,5,-58.41,6.52,18.00,16.00,6,0,0.13,0.00,0.17,0.03,0.00,0.00,0,0,
1746812809041,17,4,215,0.00,5.10,218.68,297,5075,-76.19,16,56,-47.91,89.05,22.50,15.00,6,0,0.05,0.00,0.16,0.02,0.00,0.00,0,0,
1746812810041,17,4,203,0.00,5.17,206.65,238,4563,-76.06,16,5,-58.28,6.53,18.00,16.00,8,0,0.14,0.00,0.18,0.02,0.00,0.00,0,0,
1746812811041,17,4,215,0.00,5.13,218.60,236,5406,-76.00,16,5,-58.22,6.53,18.00,17.00,5,0,0.08,0.00,0.17,0.02,0.00,0.00,0,0,
1746812812041,17,4,215,0.00,5.18,218.68,312,5810,-76.25,16,5,-58.47,6.52,17.50,16.00,7,0,0.05,0.00,0.16,0.02,0.00,0.00,0,0,
1746812813041,17,4,215,0.00,5.20,218.86,309,5731,-76.25,16,5,-58.47,6.52,17.50,13.00,7,0,0.06,0.00,0.16,0.02,0.00,0.00,0,0,
1746812814041,17,4,215,0.00,5.24,218.68,319,5749,-76.00,16,106,-44.96,179.20,20.00,16.00,7,0,0.06,0.00,0.16,0.02,0.00,0.00,0,0,
1746812815041,17,4,203,0.00,5.13,210.48,302,5063,-76.00,16,7,-56.76,9.37,16.00,11.00,8,0,0.07,0.00,0.17,0.02,0.00,0.00,0,0,
1746812816041,17,4,215,0.00,5.14,214.80,299,4450,-76.25,16,5,-58.47,6.52,18.50,18.00,6,0,0.10,0.00,0.17,0.02,0.00,0.00,0,0,
1746812817041,17,4,215,0.00,5.10,218.61,231,4869,-76.19,16,106,-45.14,178.90,20.00,12.00,8,0,0.07,0.00,0.17,0.02,0.00,0.00,0,0,
1746812818041,17,4,215,0.00,5.20,218.86,309,5504,-76.19,16,30,-50.62,45.15,16.50,12.00,7,0,0.14,0.00,0.18,0.02,0.00,0.00,0,0,
1746812819041,17,4,215,0.00,5.18,218.86,304,5415,-76.25,16,27,-51.14,40.25,15.50,14.00,7,0,0.09,0.00,0.18,0.02,0.00,0.00,0,0,
1746812820041,17,4,215,0.00,5.22,218.68,317,5152,-76.44,16,5,-58.66,6.52,18.50,13.00,7,1,0.08,0.00,0.17,0.02,0.00,0.00,0,0,
1746812821041,17,4,215,0.00,5.22,218.68,314,5444,-76.19,16,27,-51.08,40.27,15.50,16.00,7,1,0.10,0.00,0.17,0.01,0.00,0.00,0,0,
1746812822041,17,4,203,0.00,5.22,206.62,314,4899,-76.31,16,5,-58.53,6.52,17.50,13.00,7,0,0.09,0.00,0.17,0.01,0.00,0.00,0,0,
1746812823041,17,4,215,0.00,5.15,218.58,241,5248,-76.31,16,90,-45.98,149.38,21.00,15.00,7,0,0.06,0.00,0.17,0.01,0.00,0.00,0,0,
1746812824041,17,4,215,0.00,5.18,218.90,304,5131,-76.38,16,30,-50.81,45.09,17.00,14.00,7,0,0.07,0.00,0.17,0.01,0.00,0.00,0,0,
1746812825041,17,4,215,0.00,5.25,218.68,327,4971,-76.25,16,27,-51.14,40.25,15.50,17.00,7,1,0.13,0.00,0.17,0.01,0.00,0.00,0,0,
1746812826041,17,4,215,0.00,5.22,218.68,317,4843,-76.50,16,5,-58.72,6.51,19.00,18.00,7,1,0.13,0.00,0.17,0.01,0.00,0.00,0,0,
1746812827041,17,4,203,0.00,5.15,215.38,241,4751,-76.50,16,27,-51.39,40.19,16.00,16.00,7,1,0.10,0.00,0.17,0.01,0.00,0.00,0,0,
1746812828041,17,4,215,0.00,5.18,210.10,304,4827,-76.75,16,5,-58.97,6.51,18.00,15.00,7,0,0.11,0.00,0.17,0.01,0.00,0.00,0,0,
1746812829041,17,4,215,0.00,5.15,218.54,307,4933,-76.56,16,5,-58.78,6.51,19.00,18.00,7,0,0.07,0.00,0.17,0.01,0.00,0.00,0,0,
1746812830041,17,4,215,0.00,5.19,218.68,309,4769,-76.44,16,5,-58.66,6.52,19.00,16.00,7,0,0.08,0.00,0.17,0.01,0.00,0.00,0,0,
1746812831041,17,4,215,0.00,5.13,218.68,236,4775,-76.69,16,5,-58.91,6.51,19.00,19.00,7,0,0.06,0.00,0.16,0.01,0.00,0.00,0,0,
1746812832041,17,4,215,0.00,5.14,218.68,299,4405,-76.69,16,5,-58.91,6.51,18.50,16.00,7,0,0.16,0.00,0.17,0.01,0.00,0.00,0,0,
1746812833041,17,4,215,0.00,5.15,218.68,275,4901,-76.38,16,56,-48.10,88.92,22.00,14.00,6,0,0.09,0.00,0.16,0.01,0.00,0.00,0,0,
1746812834041,17,4,203,0.00,5.17,206.62,304,4804,-76.69,16,5,-58.91,6.51,17.00,16.00,7,0,0.07,0.00,0.16,0.01,0.00,0.00,0,0,
1746812835041,17,4,215,0.00,5.18,218.58,246,4856,-76.69,16,5,-58.91,6.51,18.00,16.00,7,0,0.06,0.00,0.16,0.01,0.00,0.00,0,0,
1746812836041,17,4,215,0.00,5.13,218.68,236,4784,-76.69,16,5,-58.91,6.51,18.50,16.00,6,0,0.13,0.00,0.17,0.01,0.00,0.00,0,0,
1746812837041,17,4,215,0.00,5.10,218.68,297,5102,-76.44,16,5,-58.66,6.52,18.00,18.00,6,0,0.06,0.00,0.16,0.01,0.00,0.00,0,0,
1746812838041,17,4,215,0.00,5.10,218.68,297,4465,-76.44,16,106,-45.39,178.50,20.50,18.00,7,0,0.13,0.00,0.17,0.01,0.00,0.00,0,0,
1746812839041,17,4,215,0.00,5.18,218.68,312,4947,-76.44,16,27,-51.33,40.21,16.00,15.00,7,0,0.11,0.00,0.17,0.01,0.00,0.00,0,0,
1746812840041,17,4,203,0.00,5.22,206.62,314,4908,-76.38,16,5,-58.59,6.52,17.50,15.00,7,0,0.08,0.00,0.16,0.01,0.00,0.00,0,0,
1746812841041,17,4,215,0.00,5.20,218.76,309,5403,-76.38,16,5,-58.59,6.52,20.00,20.00,7,0,0.08,0.00,0.16,0.01,0.00,0.00,0,0,
1746812842041,17,4,215,0.00,5.17,218.64,304,4625,-76.75,16,7,-57.51,9.34,16.50,15.00,8,0,0.14,0.00,0.17,0.01,0.00,0.00,0,0,
1746812843041,17,4,215,0.00,5.13,218.72,302,5826,-76.12,16,5,-58.34,6.52,18.50,18.00,5,0,0.08,0.00,0.16,0.01,0.00,0.00,0,0,
1746812844041,17,4,215,0.00,5.14,218.68,299,5051,-76.44,16,106,-45.39,178.50,20.00,19.00,8,0,0.11,0.03,0.17,0.02,0.00,0.00,0,0,
1746812845041,17,4,203,0.00,5.10,215.38,297,4495,-76.44,16,27,-51.33,40.21,15.50,17.00,7,0,0.09,0.01,0.17,0.02,0.00,0.00,0,0,
1746812846041,17,4,215,0.00,5.19,209.93,309,4721,-76.69,16,5,-58.91,6.51,19.00,20.00,7,0,0.09,0.01,0.16,0.02,0.00,0.00,0,0,
1746812847041,17,4,215,0.00,5.15,218.58,241,4946,-76.69,16,5,-58.91,6.51,18.00,14.00,7,0,0.08,0.00,0.16,0.01,0.00,0.00,0,0,
1746812848041,17,4,215,0.00,5.17,218.68,304,4769,-76.44,16,5,-58.66,6.52,17.50,16.00,7,0,0.10,0.00,0.16,0.01,0.00,0.00,0,0,
1746812849041,17,4,215,0.00,5.18,218.68,312,4775,-76.62,16,27,-51.52,40.16,15.50,18.00,7,1,0.09,0.00,0.16,0.01,0.00,0.00,0,0,
1746812850041,17,4,215,0.00,5.22,218.90,314,5464,-76.62,16,5,-58.84,6.51,17.50,14.00,7,0,0.09,0.00,0.16,0.01,0.00,0.00,0,0,
1746812851041,17,4,203,0.00,5.15,215.38,241,4947,-76.44,16,27,-51.33,40.21,15.50,16.00,7,0,0.09,0.00,0.16,0.01,0.00,0.00,0,0,
1746812852041,17,4,215,0.00,5.19,209.93,309,4712,-76.62,16,5,-58.84,6.51,17.50,16.00,7,0,0.08,0.00,0.16,0.01,0.00,0.00,0,0,
1746812853041,17,4,215,0.00,5.15,218.58,241,4759,-76.62,16,5,-58.84,6.51,18.00,14.00,7,0,0.08,0.00,0.16,0.01,0.00,0.00,0,0,
1746812854041,17,4,215,0.00,5.22,218.68,314,5161,-76.38,16,5,-58.59,6.52,19.00,16.00,7,0,0.05,0.00,0.16,0.01,0.00,0.00,0,0,
1746812855041,17,4,215,0.00,5.15,218.68,310,4579,-76.38,16,5,-58.59,6.52,18.50,13.00,7,0,0.09,0.00,0.16,0.01,0.00,0.00,0,0,
1746812856041,17,4,215,0.00,5.26,218.68,324,5226,-76.69,16,27,-51.58,40.14,15.50,18.00,7,0,0.13,0.00,0.16,0.01,0.00,0.00,0,0,
1746812857041,17,4,215,0.00,5.15,218.68,307,4751,-76.44,16,27,-51.33,40.21,15.50,15.00,7,0,0.10,0.00,0.16,0.01,0.00,0.00,0,0,
1746812858041,17,4,203,0.00,5.19,206.62,309,4917,-76.62,16,5,-58.84,6.51,18.00,17.00,7,0,0.11,0.00,0.16,0.01,0.00,0.00,0,0,
1746812859041,17,4,215,0.00,5.18,218.58,312,5142,-76.62,16,5,-58.84,6.51,20.00,20.00,7,0,0.07,0.00,0.16,0.01,0.00,0.00,0,0,
1746812860041,17,4,215,0.00,5.17,218.68,304,4769,-76.62,16,27,-51.52,40.16,16.00,20.00,7,0,0.09,0.00,0.16,0.01,0.00,0.00,0,0,
1746812861041,17,4,215,0.00,5.18,218.68,312,5282,-76.88,16,5,-59.09,6.50,18.50,18.00,7,0,0.08,0.00,0.15,0.01,0.00,0.00,0,0,
1746812862041,17,4,215,0.00,5.22,218.86,314,5024,-76.62,16,106,-45.58,178.20,20.00,18.00,7,1,0.14,0.00,0.16,0.01,0.00,0.00,0,0,
1746812863041,17,4,215,0.00,5.15,218.68,307,5242,-76.69,16,56,-48.41,88.70,22.00,19.00,6,0,0.07,0.00,0.15,0.01,0.00,0.00,0,0,
1746812864041,17,4,203,0.00,5.14,206.62,299,4670,-76.69,16,5,-58.91,6.51,17.50,14.00,7,0,0.05,0.00,0.15,0.01,0.00,0.00,0,0,
1746812865041,17,4,215,0.00,5.13,218.58,302,4798,-76.44,16,5,-58.66,6.52,19.00,16.00,6,0,0.13,0.00,0.15,0.01,0.00,0.00,0,0,
1746812866041,17,4,215,0.00,5.14,218.68,299,5034,-77.00,16,5,-59.22,6.50,18.50,17.00,7,0,0.05,0.00,0.15,0.01,0.00,0.00,0,0,
1746812867041,17,4,215,0.00,5.17,218.68,304,4626,-76.81,16,5,-59.03,6.51,19.00,16.00,7,0,0.12,0.00,0.16,0.01,0.00,0.00,0,0,
1746812868041,17,4,215,0.00,5.22,218.68,314,5339,-76.81,16,5,-59.03,6.51,19.50,14.00,7,0,0.10,0.00,0.16,0.01,0.00,0.00,0,0,
1746812869041,17,4,215,0.00,5.06,218.28,221,4297,-76.25,16,47,-48.74,73.53,21.50,10.00,7,0,0.05,0.34,0.15,0.02,0.00,0.00,0,0,
1746812870041,17,4,203,0.00,5.10,206.38,297,4212,-75.81,16,5,-58.03,6.53,19.50,17.00,7,0,0.16,0.50,0.16,0.03,0.00,0.00,0,0,
1746812871041,17,4,215,0.00,5.15,218.58,307,4750,-77.00,16,5,-59.22,6.50,17.00,11.00,7,0,0.12,0.22,0.16,0.03,0.00,0.00,0,0,
1746812872041,17,4,203,0.00,5.10,206.33,297,4647,-77.06,16,5,-59.28,6.50,17.50,12.00,7,0,0.08,0.18,0.16,0.03,0.00,0.01,0,0,
1746812873041,17,4,227,0.00,5.18,230.89,304,5491,-77.06,16,5,-59.28,6.50,17.50,13.00,7,0,0.11,0.16,0.16,0.03,0.00,0.01,0,0,
1746812874041,17,4,215,0.00,5.06,218.48,279,4746,-77.00,16,5,-59.22,6.50,22.00,23.00,7,0,0.05,0.16,0.15,0.03,0.00,0.01,0,0,
1746812875041,17,4,191,0.00,5.07,194.81,284,3908,-77.44,16,5,-59.66,6.49,15.00,10.00,6,0,0.12,0.17,0.16,0.03,0.00,0.01,0,0,
1746812876041,17,4,227,0.00,5.10,230.02,289,5279,-76.31,16,5,-58.53,6.52,20.50,21.00,7,0,0.05,0.21,0.16,0.03,0.00,0.01,0,0,
1746812877041,17,4,215,0.00,14.55,218.25,578,4428,-76.31,16,106,-45.27,178.70,20.50,13.00,8,0,0.05,0.35,0.16,0.08,0.00,0.01,0,0,
1746812878041,17,4,215,0.00,5.13,218.68,302,5023,-76.75,16,90,-46.42,148.82,21.00,17.00,7,0,0.15,0.13,0.16,0.08,0.00,0.01,0,0,
1746812879041,17,4,215,0.00,5.13,218.56,302,5103,-76.56,16,5,-58.78,6.51,19.00,19.00,6,0,0.07,0.13,0.16,0.09,0.00,0.01,0,0,
1746812880041,17,4,215,0.00,5.19,218.68,309,5184,-76.44,16,106,-45.39,178.50,20.00,14.00,7,1,0.08,0.05,0.16,0.08,0.00,0.01,0,0,
1746812881041,17,4,215,0.00,5.27,218.68,324,6425,-76.06,16,27,-50.96,40.30,16.00,19.00,7,1,0.13,0.02,0.16,0.08,0.00,0.01,0,0,
1746812882041,17,4,203,0.00,5.15,206.80,299,5120,-76.06,16,5,-58.28,6.53,19.50,16.00,7,0,0.08,0.01,0.16,0.08,0.00,0.01,0,0,
1746812883041,17,4,215,0.00,5.15,218.58,241,4946,-76.69,16,27,-51.58,40.14,16.00,20.00,7,0,0.07,0.00,0.16,0.08,0.00,0.01,0,0,
1746812884041,17,4,215,0.00,5.20,218.86,309,5560,-76.56,16,5,-58.78,6.51,18.00,17.00,7,0,0.06,0.00,0.16,0.08,0.00,0.01,0,0,
1746812885041,17,4,215,0.00,5.25,218.86,319,5845,-76.38,16,5,-58.59,6.52,18.50,16.00,7,0,0.11,0.00,0.16,0.08,0.00,0.01,0,0,
1746812886041,17,4,215,0.00,5.22,218.68,314,5143,-76.06,16,106,-45.02,179.10,20.00,16.00,7,1,0.08,0.00,0.16,0.08,0.00,0.01,0,0,
1746812887041,17,4,215,0.00,5.18,218.68,246,5226,-76.06,16,27,-50.96,40.30,15.00,18.00,7,0,0.10,0.00,0.16,0.08,0.00,0.01,0,0,
1746812888041,17,4,215,0.00,5.22,218.52,317,4938,-76.62,16,5,-58.84,6.51,16.50,12.00,7,0,0.05,0.16,0.16,0.08,0.00,0.01,0,0,
1746812889041,17,4,203,0.00,5.13,206.61,302,4914,-76.38,16,15,-53.82,21.29,14.50,13.00,4,0,0.15,0.07,0.16,0.08,0.00,0.01,0,0,
1746812890041,17,4,215,0.00,5.10,219.40,231,7844,-76.00,16,27,-50.89,40.32,15.50,13.00,4,0,0.06,0.03,0.16,0.08,0.00,0.01,0,0,
1746812891041,17,4,215,0.00,5.13,218.72,302,5173,-76.00,16,5,-58.22,6.53,17.50,11.00,7,0,0.16,0.01,0.16,0.08,0.00,0.01,0,0,
1746812892041,17,4,215,0.00,5.22,218.68,314,4947,-76.12,16,5,-58.34,6.52,18.50,15.00,7,1,0.12,0.00,0.16,0.08,0.00,0.01,0,0,
1746812893041,17,4,203,0.00,5.10,206.50,289,5360,-76.31,16,56,-48.04,88.96,22.50,13.00,7,0,0.09,0.15,0.16,0.08,0.00,0.01,0,0,
1746812894041,17,4,215,0.00,5.22,218.87,314,5753,-76.25,16,5,-58.47,6.52,17.50,16.00,7,0,0.10,0.12,0.16,0.08,0.00,0.01,0,0,
1746812895041,17,4,215,0.00,5.22,218.58,261,5836,-76.31,16,5,-58.53,6.52,18.00,14.00,7,0,0.09,0.05,0.16,0.08,0.00,0.01,0,0,
1746812896041,17,4,215,0.00,5.18,218.68,312,5375,-76.31,16,5,-58.53,6.52,16.50,11.00,7,1,0.09,0.02,0.16,0.08,0.00,0.01,0,0,
1746812897041,17,4,215,0.00,5.22,218.68,259,5755,-76.38,16,27,-51.27,40.22,15.00,17.00,7,1,0.11,0.01,0.16,0.07,0.00,0.01,0,0,
1746812898041,17,4,203,0.00,5.15,215.55,299,4875,-76.56,16,5,-58.78,6.51,17.50,11.00,7,0,0.10,0.00,0.16,0.07,0.00,0.01,0,0,
1746812899041,17,4,227,0.00,5.20,221.98,322,5627,-76.19,16,27,-51.08,40.27,16.00,17.00,7,1,0.12,0.02,0.16,0.07,0.00,0.01,0,0,
1746812900041,17,4,203,0.00,5.17,206.62,304,4721,-76.19,16,5,-58.41,6.52,19.50,17.00,7,0,0.08,0.01,0.16,0.07,0.00,0.01,0,0,
1746812901041,17,4,215,0.00,5.25,218.58,322,6113,-76.31,16,5,-58.53,6.52,19.00,16.00,7,1,0.11,0.00,0.16,0.07,0.00,0.01,0,0,
1746812902041,17,4,215,0.00,5.22,218.56,314,5200,-76.50,16,5,-58.72,6.51,17.50,12.00,7,0,0.07,0.06,0.16,0.07,0.00,0.01,0,0,
1746812903041,17,4,215,0.00,5.13,218.68,305,4606,-75.94,16,106,-44.89,179.30,21.00,13.00,8,0,0.13,0.02,0.16,0.07,0.00,0.01,0,0,
1746812904041,17,4,215,0.00,5.03,218.08,216,4861,-76.12,16,47,-48.61,73.60,22.50,10.00,7,0,0.11,0.32,0.16,0.08,0.00,0.02,0,0,
1746812905041,17,4,215,0.00,5.15,218.68,312,4564,-76.12,16,27,-51.02,40.29,17.50,13.00,7,0,0.08,0.15,0.16,0.08,0.00,0.02,0,0,
1746812906041,17,4,203,0.00,9.92,206.24,444,5105,-76.88,16,5,-59.09,6.50,20.00,20.00,7,0,0.09,0.20,0.16,0.10,0.00,0.02,0,0,
1746812907041,17,4,203,0.00,5.08,206.29,284,5111,-77.12,16,47,-49.61,73.06,22.50,10.00,7,0,0.07,0.27,0.16,0.10,0.00,0.02,0,0,
1746812908041,17,4,227,0.00,5.13,230.55,302,5234,-76.62,16,5,-58.84,6.51,17.50,18.00,7,0,0.05,0.23,0.16,0.10,0.00,0.02,0,0,
1746812909041,17,4,215,0.00,5.05,218.10,284,3979,-76.62,16,5,-58.84,6.51,20.50,17.00,7,0,0.13,0.46,0.16,0.11,0.00,0.02,0,0,
1746812910041,17,4,215,0.00,5.17,218.68,304,4555,-76.81,16,5,-59.03,6.51,18.50,20.00,7,0,0.09,0.18,0.16,0.11,0.00,0.02,0,0,
1746812911041,17,4,203,0.00,5.08,206.78,292,4331,-77.69,16,100,-46.90,165.66,19.50,17.00,9,0,0.11,0.08,0.16,0.11,0.00,0.02,0,0,
1746812912041,17,4,215,0.00,5.08,218.30,292,4469,-77.19,16,5,-59.41,6.50,10.00,10.00,4,0,0.15,0.11,0.16,0.11,0.00,0.02,0,0,
