Time (UNIX ms),UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP (dBm),N_RSRP_MEAS,N_PRB,RSSI (dBm),RSRQ (dB),PUSCH_SNR (dB),PUCCH_SNR (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,CQI_SINGLE_CODEWORD,CQI_DUAL_CODEWORD,
1746812762041,17,0,0,0.00,0.00,0.00,178,1418,-76.67,12,5,-58.89,6.51,18.00,14.00,6,0,0.04,0.07,0.01,0.78,nan,0.00,0,0,
1746812763041,17,0,0,0.00,0.00,0.00,5,50,-76.67,12,5,-58.89,6.51,19.50,18.00,0,0,0.01,0.09,0.01,0.75,nan,0.00,0,0,
1746812764041,17,0,0,0.00,0.00,0.00,5,50,-76.53,15,5,-58.75,6.51,18.50,17.00,0,0,0.00,0.08,0.01,0.73,nan,0.00,0,0,
1746812765041,17,0,0,0.00,0.00,0.00,5,50,-76.56,16,5,-58.78,6.51,18.00,18.00,0,0,0.00,0.07,0.01,0.72,nan,0.00,0,0,
1746812766041,17,0,0,0.00,0.00,0.00,5,50,-76.62,16,5,-58.84,6.51,19.00,17.00,0,0,0.00,0.06,0.01,0.70,nan,0.00,0,0,
1746812767041,17,0,0,0.00,0.00,0.00,5,50,-76.81,16,5,-59.03,6.51,19.00,15.00,0,0,0.00,0.06,0.01,0.68,nan,0.00,0,0,
1746812768041,17,0,0,0.00,0.00,0.00,5,50,-76.81,16,5,-59.03,6.51,20.00,19.00,0,0,0.00,0.05,0.01,0.66,nan,0.00,0,0,
1746812769041,17,0,0,0.00,0.00,0.00,5,50,-76.31,16,5,-58.53,6.52,17.50,14.00,0,0,0.00,0.05,0.01,0.65,nan,0.00,0,0,
1746812770041,17,0,0,0.00,0.00,0.00,5,50,-76.31,16,5,-58.53,6.52,18.00,18.00,0,0,0.00,0.04,0.01,0.63,nan,0.00,0,0,
1746812771041,17,0,0,0.00,0.00,0.00,5,50,-76.50,16,5,-58.72,6.51,17.50,17.00,0,0,0.00,0.04,0.01,0.62,nan,0.00,0,0,
1746812772041,17,0,0,0.00,0.00,0.00,5,50,-76.50,16,5,-58.72,6.51,17.50,15.00,0,0,0.00,0.03,0.01,0.61,nan,0.00,0,0,
1746812773041,17,0,0,0.00,0.00,0.00,5,50,-76.19,16,5,-58.41,6.52,18.50,15.00,0,0,0.00,0.03,0.01,0.59,nan,0.00,0,0,
1746812774041,17,0,0,0.00,0.00,0.00,5,50,-76.19,16,5,-58.41,6.52,17.00,18.00,0,0,0.00,0.03,0.01,0.58,nan,0.00,0,0,
1746812775041,17,0,0,0.00,0.00,0.00,5,50,-76.00,16,5,-58.22,6.53,18.50,15.00,0,0,0.00,0.02,0.01,0.57,nan,0.00,0,0,
1746812776041,17,0,0,0.00,0.00,0.00,5,50,-76.00,16,5,-58.22,6.53,17.00,13.00,0,0,0.00,0.02,0.01,0.56,nan,0.00,0,0,
1746812777041,17,0,0,0.00,0.00,0.00,5,50,-76.00,16,5,-58.22,6.53,19.50,19.00,0,0,0.00,0.02,0.01,0.55,nan,0.00,0,0,
1746812778041,17,0,0,0.00,0.00,0.00,5,50,-76.44,16,5,-58.66,6.52,16.50,13.00,0,0,0.00,0.02,0.01,0.53,nan,0.00,0,0,
1746812779041,17,0,0,0.00,0.00,0.00,5,50,-76.19,16,5,-58.41,6.52,19.00,17.00,0,0,0.00,0.02,0.01,0.52,nan,0.00,0,0,
1746812780041,17,0,0,0.00,0.00,0.00,5,50,-76.62,16,5,-58.84,6.51,17.50,13.00,0,0,0.00,0.01,0.01,0.51,nan,0.00,0,0,
1746812781041,17,0,0,0.00,0.00,0.00,5,50,-76.62,16,5,-58.84,6.51,17.50,16.00,0,0,0.00,0.01,0.01,0.51,nan,0.00,0,0,
1746812782041,17,0,0,0.00,0.00,0.00,5,50,-76.25,16,5,-58.47,6.52,18.50,19.00,0,0,0.00,0.01,0.01,0.50,nan,0.00,0,0,
1746812783041,17,0,0,0.00,0.00,0.00,5,50,-76.25,16,5,-58.47,6.52,18.00,14.00,0,0,0.00,0.01,0.01,0.49,nan,0.00,0,0,
1746812784041,17,0,0,0.00,0.00,0.00,5,50,-76.31,16,5,-58.53,6.52,18.00,21.00,0,0,0.00,0.01,0.01,0.48,nan,0.00,0,0,
1746812785041,17,0,0,0.00,0.00,0.00,5,50,-76.44,16,5,-58.66,6.52,18.50,14.00,0,0,0.00,0.01,0.01,0.47,nan,0.00,0,0,
1746812786041,17,0,0,0.00,0.00,0.00,5,50,-76.44,16,5,-58.66,6.52,17.50,13.00,0,0,0.00,0.01,0.01,0.46,nan,0.00,0,0,
