Time (UNIX ms),UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP.Mean (dBm),RSRP.Minimum (dBm),RSRP.Quartile1 (dBm),RSRP.Median (dBm),RSRP.Quartile3 (dBm),RSRP.Maximum (dBm),RSRP.Count,N_PRB,RSSI (dBm),RSRQ (dB),PUSCH_SNR (dB),PUCCH_SNR (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,CQI_SINGLE_CODEWORD,CQI_DUAL_CODEWORD,
1748889070613,4,0,0,0.00,0.00,0.00,147,1231,NaN,0.00,NaN,NaN,NaN,0.00,0,5,NaN,0.00,36.50,44.00,0,0,0.07,0.08,0.01,0.00,NaN,0.00,0,0,
1748889071613,4,0,0,0.00,0.00,0.00,10,116,-60.46,-61.00,-61.00,-60.00,-60.00,-60.00,13,5,-42.68,7.08,35.50,44.00,0,0,0.03,0.07,0.01,0.00,NaN,0.00,0,0,
1748889072613,4,0,0,0.00,0.00,0.00,10,116,-60.69,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.91,7.07,34.50,45.00,0,0,0.01,0.05,0.01,0.00,NaN,0.00,0,0,
1748889073613,4,0,0,0.00,0.00,0.00,10,116,-60.69,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.91,7.07,35.50,44.00,0,0,0.00,0.04,0.01,0.00,NaN,0.00,0,0,
1748889074613,4,0,0,0.00,0.00,0.00,10,116,-60.62,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.84,7.08,35.00,45.00,0,0,0.00,0.03,0.01,0.00,NaN,0.00,0,0,
1748889075613,4,0,0,0.00,0.00,0.00,10,116,-60.44,-61.00,-61.00,-60.00,-60.00,-60.00,16,5,-42.66,7.08,35.50,45.00,0,0,0.00,0.03,0.01,0.00,NaN,0.00,0,0,
1748889076613,4,0,0,0.00,0.00,0.00,10,111,-60.31,-61.00,-61.00,-60.00,-60.00,-60.00,16,5,-42.53,7.09,34.50,45.00,1,0,0.00,0.02,0.01,0.00,NaN,0.00,0,0,
1748889077613,4,3,3,0.00,3.82,3.58,152,516,-60.62,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.84,7.08,34.50,42.00,2,1,0.00,0.02,0.01,0.00,0.00,0.00,0,0,
1748889078613,4,0,0,0.00,0.00,0.00,10,116,-60.62,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.84,7.08,34.00,45.00,1,0,0.00,0.01,0.01,0.00,0.00,0.00,0,0,
1748889079613,4,0,0,0.00,0.00,0.00,10,116,-60.31,-61.00,-61.00,-60.00,-60.00,-60.00,16,5,-42.53,7.09,35.50,45.00,1,0,0.00,0.01,0.01,0.00,0.00,0.00,0,0,
1748889080613,4,0,0,0.00,0.00,0.00,10,116,-60.44,-61.00,-61.00,-60.00,-60.00,-60.00,16,28,-35.17,48.11,26.50,46.00,1,0,0.00,0.01,0.01,0.00,0.00,0.00,0,0,
1748889081613,4,0,0,0.00,0.00,0.00,10,111,-60.56,-61.00,-61.00,-61.00,-60.00,-60.00,16,28,-35.30,48.04,27.00,46.00,0,0,0.00,0.01,0.01,0.00,0.00,0.00,0,0,
1748889082613,4,0,0,0.00,0.00,0.00,10,116,-60.56,-61.00,-61.00,-61.00,-60.00,-60.00,16,28,-35.30,48.04,26.50,45.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,
1748889083613,4,0,0,0.00,0.00,0.00,10,116,-60.50,-61.00,-61.00,-60.50,-60.00,-60.00,16,28,-35.24,48.08,26.50,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889084613,4,0,0,0.00,0.00,0.00,10,116,-60.50,-61.00,-61.00,-60.50,-60.00,-60.00,16,28,-35.24,48.08,26.50,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889085613,4,0,0,0.00,0.00,0.00,10,116,-60.44,-61.00,-61.00,-60.00,-60.00,-60.00,16,5,-42.66,7.08,34.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889086613,4,0,0,0.00,0.00,0.00,5,50,-60.50,-61.00,-61.00,-60.50,-60.00,-60.00,16,5,-42.72,7.08,34.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889087613,4,0,0,0.00,0.00,0.00,10,111,-60.50,-61.00,-61.00,-60.50,-60.00,-60.00,16,5,-42.72,7.08,33.50,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889088613,4,0,0,0.00,0.00,0.00,10,116,-60.62,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.84,7.08,34.50,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889089613,4,0,0,0.00,0.00,0.00,10,116,-61.00,-61.00,-61.00,-61.00,-61.00,-61.00,16,5,-43.22,7.06,35.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889090613,4,0,0,0.00,0.00,0.00,10,116,-60.94,-61.00,-61.00,-61.00,-61.00,-60.00,16,5,-43.16,7.06,35.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889091613,4,0,0,0.00,0.00,0.00,10,116,-60.94,-61.00,-61.00,-61.00,-61.00,-60.00,16,5,-43.16,7.06,35.00,43.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889092613,4,0,0,0.00,0.00,0.00,10,111,-60.81,-61.00,-61.00,-61.00,-61.00,-60.00,16,5,-43.03,7.07,35.50,46.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889093613,4,0,0,0.00,0.00,0.00,10,116,-60.94,-61.00,-61.00,-61.00,-61.00,-60.00,16,5,-43.16,7.06,34.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889094613,4,0,0,0.00,0.00,0.00,10,116,-60.62,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.84,7.08,34.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889095613,4,0,0,0.00,0.00,0.00,10,116,-60.56,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.78,7.08,34.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889096613,4,0,0,0.00,0.00,0.00,10,116,-60.56,-61.00,-61.00,-61.00,-60.00,-60.00,16,5,-42.78,7.08,35.00,44.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
1748889097613,4,0,0,0.00,0.00,0.00,10,111,-60.50,-61.00,-61.00,-60.50,-60.00,-60.00,16,5,-42.72,7.08,34.00,45.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,
