time_start,time_end,tx_gain
1757429049490,1757429110490,48
1757429167490,1757429227490,48
1757429263490,1757429323490,48
1757429357490,1757429417490,48
1757429472490,1757429532490,48
1757429587490,1757429647490,48
1757429703490,1757429763490,48
1757429797490,1757429857490,48
1757429907490,1757429967490,48
1757430026490,1757430086490,48
1757430141490,1757430201490,48
1757430254490,1757430314490,48
1757430346490,1757430406490,48
1757430439490,1757430499490,48
1757430558490,1757430618490,48
1757430677490,1757430737490,48
1757430770490,1757430830490,48
1757430884490,1757430944490,48
1757431004490,1757431064490,48
1757431109490,1757431169490,48
1757431229490,1757431289490,48
1757431327490,1757431387490,48
1757431443490,1757431503490,48
1757431550490,1757431610490,48
1757431645490,1757431705490,48
1757431753490,1757431813490,48
1757431870490,1757431930490,48
1757431963490,1757432023490,48
1757432073490,1757432133490,48
1757432187490,1757432247490,48
1757432283490,1757432343490,48
1757432386490,1757432446490,48
1757432505490,1757432565490,48
1757432596490,1757432656490,48
1757432701490,1757432761490,48
1757432812490,1757432872490,48
1757432920490,1757432980490,48
