Timestamp,UNIX Epoch,Open5GS (m),5GDeploy Cores (m),OAI UE (m),OAI gNB (m),FlexRIC (m),srsRAN_Project (m),srsRAN_UE (m),O-SC Near-RT RIC (m)
2025-09-26 14:44:29,1758912269,2.38333,7.03333,2.81666,1.91666,.70000,5.56666,5.21666,8.71666
2025-09-26 19:03:28,1758927808,2.53333,6.85000,3.23333,2.31666,.71666,5.33333,3.28333,9.61666
2025-09-26 19:40:37,1758930037,1.96666,7.33333,2.76666,2.33333,.66666,5.48333,3.20000,10.11666
2025-09-26 20:18:38,1758932318,2.15000,7.28333,3.23333,2.35000,.70000,5.51666,3.26666,10.21666
2025-09-26 20:55:18,1758934518,2.06666,6.90000,3.20000,2.41666,.65000,5.31666,3.25000,9.70000
2025-09-26 21:34:23,1758936863,2.40000,6.70000,3.80000,2.90000,1.05000,5.36666,3.20000,10.16666
2025-09-26 22:12:31,1758939151,2.26666,6.80000,3.58333,2.61666,.68333,6.05000,3.21666,9.68333
2025-09-26 22:53:07,1758941587,2.21666,8.01666,3.50000,2.63333,.68333,5.55000,3.50000,11.13333
2025-09-26 23:31:04,1758943864,2.13333,7.40000,3.26666,2.31666,.68333,5.45000,3.23333,10.18333
2025-09-27 00:24:24,1758947064,2.05000,22.76666,3.16666,2.35000,.70000,5.41666,3.25000,10.36666
2025-09-27 01:01:57,1758949317,2.08333,7.13333,3.20000,2.03333,.90000,5.56666,3.20000,10.18333
2025-09-27 01:39:54,1758951594,1.98333,7.15000,3.16666,2.36666,.65000,5.50000,3.33333,10.58333
2025-09-27 02:17:31,1758953851,2.15000,,3.63333,2.36666,.68333,5.53333,3.45000,10.85000
2025-09-27 02:51:57,1758955917,2.03333,,3.16666,2.51666,.70000,5.81666,3.36666,10.78333
2025-09-27 03:26:45,1758958005,2.10000,,3.38333,2.61666,.66666,6.11666,3.30000,10.75000
2025-09-27 03:58:54,1758959934,1.96666,,3.15000,2.31666,.66666,5.53333,3.20000,10.21666
2025-09-27 04:32:32,1758961952,2.05000,,2.88333,2.36666,.66666,5.91666,3.25000,10.41666
2025-09-27 05:07:02,1758964022,2.00000,,3.65000,2.71666,.66666,5.25000,3.51666,10.21666
2025-09-27 05:39:50,1758965990,2.01666,,3.15000,2.55000,.65000,5.43333,3.26666,9.75000
2025-09-27 06:16:06,1758968166,1.95000,,3.15000,2.31666,.63333,5.63333,3.21666,13.45000
2025-09-27 06:48:53,1758970133,1.98333,,3.13333,2.33333,.65000,5.36666,3.36666,10.00000
2025-09-27 07:21:46,1758972106,2.00000,,3.28333,2.38333,.71666,5.25000,3.38333,10.13333
2025-09-27 07:54:28,1758974068,2.01666,,3.28333,2.35000,.71666,5.46666,3.25000,9.75000
2025-09-27 08:28:03,1758976083,2.00000,,3.18333,2.01666,.70000,5.55000,3.25000,10.70000
2025-09-27 09:00:50,1758978050,2.18333,,2.78333,2.36666,.66666,5.56666,3.21666,9.98333
2025-09-27 09:36:46,1758980206,2.46666,,4.70000,2.83333,.75000,5.68333,3.31666,9.95000
2025-09-27 10:10:59,1758982259,2.10000,,3.63333,2.60000,.75000,5.75000,3.43333,9.63333
2025-09-27 10:44:33,1758984273,2.03333,,3.51666,2.35000,.65000,5.43333,3.23333,9.76666
2025-09-27 11:17:43,1758986263,2.31666,,3.33333,2.33333,.65000,5.30000,3.16666,9.80000
2025-09-27 11:49:50,1758988190,1.96666,,3.15000,2.33333,.65000,5.45000,3.20000,9.58333
2025-09-27 12:22:19,1758990139,2.01666,,3.15000,2.33333,.65000,5.45000,3.18333,9.91666
2025-09-27 12:54:41,1758992081,1.95000,,3.15000,2.33333,.65000,5.46666,3.30000,9.71666
2025-09-27 13:26:25,1758993985,1.93333,,2.76666,1.98333,.65000,5.41666,3.18333,9.73333
2025-09-27 13:59:54,1758995994,2.08333,,3.15000,2.33333,.70000,5.66666,3.31666,10.25000
2025-09-27 14:33:24,1758998004,1.98333,,3.23333,2.35000,.65000,5.46666,3.26666,10.60000
2025-09-27 15:06:28,1758999988,1.98333,,3.15000,2.31666,.66666,5.43333,3.18333,10.30000
2025-09-27 15:39:47,1759001987,2.61666,,3.15000,2.33333,.66666,5.38333,3.30000,9.53333
2025-09-27 16:12:59,1759003979,2.08333,,3.15000,2.36666,.70000,5.40000,3.51666,9.85000
2025-09-27 16:48:52,1759006132,2.05000,,3.65000,2.50000,.65000,6.01666,3.61666,11.23333
2025-09-27 17:21:03,1759008063,2.01666,,3.13333,2.33333,.65000,5.33333,3.21666,9.76666
2025-09-27 17:53:29,1759010009,1.98333,,3.15000,2.33333,.65000,5.56666,3.23333,9.73333
2025-09-27 18:26:42,1759012002,2.01666,,3.18333,1.95000,.66666,5.83333,3.20000,10.38333
2025-09-27 18:58:35,1759013915,1.95000,,3.16666,2.35000,.65000,5.43333,3.30000,9.30000
2025-09-27 19:31:45,1759015905,2.11666,,3.13333,2.33333,.65000,5.45000,3.20000,10.26666
2025-09-27 20:05:10,1759017910,2.35000,,3.16666,2.51666,.80000,5.50000,3.40000,9.38333
2025-09-27 20:38:31,1759019911,1.95000,,3.15000,2.46666,.65000,5.45000,3.38333,10.28333
2025-09-27 21:12:49,1759021969,2.28333,,3.18333,2.45000,.66666,5.55000,3.21666,10.56666
2025-09-27 21:46:31,1759023991,2.00000,,3.26666,2.41666,.66666,5.58333,3.58333,10.13333
2025-09-27 22:20:40,1759026040,2.21666,,3.60000,2.33333,.68333,6.28333,3.73333,9.33333
2025-09-27 22:54:29,1759028069,2.11666,,3.15000,2.33333,.66666,5.46666,3.68333,10.35000
2025-09-27 23:27:28,1759030048,2.16666,,3.15000,2.03333,.66666,5.50000,3.21666,10.48333
2025-09-28 00:02:34,1759032154,1.98333,,3.15000,2.35000,.66666,5.46666,3.26666,10.61666
2025-09-28 00:41:19,1759034479,2.05000,,3.16666,2.40000,3.78333,5.45000,3.60000,11.08333
2025-09-28 01:14:56,1759036496,1.96666,,3.15000,2.33333,.66666,5.43333,3.20000,10.76666
2025-09-28 01:52:33,1759038753,1.98333,,3.16666,2.33333,.71666,5.73333,3.25000,12.46666
2025-09-28 02:34:39,1759041279,2.05000,,3.36666,2.38333,.85000,5.56666,3.36666,13.51666
2025-09-28 03:13:17,1759043597,2.45000,,3.18333,2.46666,.66666,5.60000,3.25000,11.25000
2025-09-28 03:50:01,1759045801,2.85000,,3.15000,2.31666,.65000,5.36666,3.18333,10.56666
2025-09-28 04:31:34,1759048294,2.28333,,4.71666,2.81666,.76666,6.08333,4.05000,12.86666
2025-09-28 05:06:54,1759050414,2.00000,,3.48333,2.45000,.68333,5.41666,3.28333,11.73333
2025-09-28 05:41:48,1759052508,1.96666,,3.15000,2.66666,.78333,6.10000,3.96666,10.43333
2025-09-28 06:17:25,1759054645,1.93333,,3.11666,1.95000,.65000,5.21666,3.18333,12.65000
2025-09-28 06:49:27,1759056567,1.91666,,3.13333,2.30000,.65000,5.45000,3.15000,9.56666
2025-09-28 07:21:38,1759058498,1.95000,,3.13333,2.31666,.65000,5.55000,3.18333,9.66666
2025-09-28 07:55:22,1759060522,2.26666,,3.16666,2.43333,.66666,5.56666,3.16666,10.56666
2025-09-28 08:29:45,1759062585,2.00000,,3.16666,2.33333,.75000,5.61666,3.26666,11.41666
