real;imag
4;3
-10;-7
-10;-5
2;5
-8;-9
-7;6
-8;-9
6;-2
-12;2
-11;-10
3;8
-9;6
0;-12
-10;9
5;-3
-5;-11
4;14
-12;9
-9;5
-14;5
3;8
-14;6
-11;5
-8;-15
9;12
-11;-18
-8;3
-6;-13
6;12
10;-8
6;4
0;-8
6;-7
7;-10
-6;-3
9;-9
-7;-8
-11;-10
-10;2
-7;-10
4;7
-4;-7
10;-4
8;-4
-7;5
-10;-3
6;-7
11;-1
-7;-10
-7;-11
-12;6
-8;-12
-11;-7
9;8
4;6
7;-9
10;9
10;-5
9;-11
-8;-9
-6;12
-10;6
-12;11
-4;-11
6;5
9;-9
10;10
-8;-11
-4;-12
-11;-11
-3;-13
12;-7
-13;8
-7;-13
-7;-17
-13;11
-13;11
16;-10
-13;-12
13;-14
13;-16
-9;-18
-7;-15
-11;3
4;-9
7;12
6;8
-14;0
-11;-14
6;15
0;-11
-13;-4
7;-10
-4;6
-5;-9
-5;-5
-5;8
1;-9
3;11
-11;-3
1;10
3;9
7;-9
5;8
-13;8
7;10
10;-8
12;-5
4;7
6;9
-11;7
-6;7
-11;-8
10;9
2;-6
12;7
5;7
-7;-7
2;8
8;7
-7;-9
-10;5
4;8
2;14
11;-6
-8;11
-3;-13
10;10
-9;-5
-10;1
-11;-14
-14;7
-19;8
16;-6
4;14
-9;1
-15;2
14;-7
-11;-12
-5;-9
-12;-11
6;-13
12;-6
13;-9
-10;5
-12;10
11;12
-10;-14
12;11
-14;2
-7;-13
-7;9
-10;-6
-1;-8
6;5
4;-9
-8;5
-6;7
3;-7
5;3
-6;-7
-11;9
5;-4
6;9
11;-8
7;-6
-8;-15
5;6
-7;-7
1;7
-12;7
-12;6
9;-5
-7;12
7;-6
9;-10
-8;-5
7;6
-13;4
-10;-9
5;-13
-4;-11
-10;-10
-6;3
9;-6
11;-8
8;-3
17;-8
-8;5
5;9
7;-6
11;-10
10;-4
-15;-18
8;-9
-6;-11
-12;-7
11;-12
8;-7
-11;-8
6;9
-8;9
-18;10
-15;5
12;-9
-10;7
-12;5
10;-10
-9;2
-16;1
-12;-8
-9;3
-6;-4
5;-12
8;-4
-6;7
7;5
-8;9
-5;-10
4;-9
-7;8
8;10
8;-4
8;13
-11;4
-9;8
-5;-16
-7;9
-6;-9
-10;4
6;6
4;9
5;-10
11;-7
-11;-9
9;-9
-6;7
10;-11
11;-3
2;7
7;-7
-8;6
10;-6
-10;6
