real;imag
4;6
-4;-11
-6;-14
2;16
-16;-9
-7;8
-12;-6
13;-8
-15;6
-10;-14
12;4
-9;9
5;-12
-9;9
4;-12
-8;-14
10;6
-16;11
-13;8
-16;6
4;7
-11;11
-15;8
-4;-16
1;10
-10;-14
-17;8
-6;-7
9;11
13;-5
11;6
7;-3
6;-4
15;-5
-1;-10
10;-11
-6;-9
-11;-11
-7;12
-2;-13
11;10
-6;-11
6;-12
3;-8
-13;5
-9;-13
11;-11
6;-3
-6;-9
-6;-14
-14;13
-16;-11
-11;-7
6;11
5;8
7;-9
7;8
7;-11
5;-8
-5;-17
-11;5
-17;8
-19;9
-17;-12
9;5
18;-12
8;17
-3;-16
-8;-18
-5;-15
-2;-4
15;-7
-14;8
-7;-10
-15;-17
-16;5
-12;4
9;-5
-12;-11
11;-7
14;1
-4;-9
-6;-13
-10;3
9;-9
3;14
3;9
-14;1
-5;-15
3;7
9;-4
-7;-8
8;-9
-6;5
-4;-7
-7;-9
-15;5
8;-7
9;17
-8;-9
11;13
9;11
7;-12
7;6
-5;7
6;15
5;-6
7;-8
1;7
5;10
-12;11
-13;4
-3;-8
10;7
9;-4
2;11
4;10
-6;-9
9;9
8;7
-15;-13
-11;7
13;10
4;7
11;-4
-19;6
-11;-16
9;9
-14;-12
-18;11
-10;-13
-12;-1
-10;3
11;-5
5;9
-20;11
-8;1
6;-8
0;-14
-1;-13
-3;-10
11;-7
9;-10
14;-9
-11;1
-10;1
0;13
-5;-7
2;6
-20;3
-9;-10
-10;4
-5;-9
8;-8
1;3
10;-5
-5;5
-9;5
9;-17
2;3
-12;-2
-12;12
7;-7
11;15
3;-8
6;-10
-12;-7
4;10
-12;-8
4;15
-14;10
-18;11
6;-11
-13;6
6;-5
6;-9
-4;-10
4;11
-8;9
-8;-5
10;-10
-10;-13
-12;-14
-10;8
13;-17
13;-15
9;-13
19;-8
-17;9
1;11
4;-12
10;-8
5;-7
-9;-14
11;-3
-5;-10
-8;-13
9;-4
9;-9
-5;-14
4;13
-10;1
-9;1
-11;5
4;-5
-10;4
-12;2
11;-7
-11;6
-17;-2
-5;-7
-8;8
-4;-7
10;-5
12;-9
-9;8
5;7
-15;8
-10;-13
16;-5
-15;8
9;7
5;-6
17;9
-10;4
-6;11
-11;-9
-15;11
-17;-14
-8;10
7;8
4;9
10;-11
5;-7
-8;-5
5;-9
-9;8
12;-7
15;-8
6;12
9;-11
-20;5
15;-17
-13;10
-7;-10
-9;-14
3;-3
3;11
-4;-8
-7;-14
-10;-13
-13;-3
-5;7
11;-7
-15;2
15;-8
-15;7
13;-4
6;9
-2;-16
-6;-13
9;17
9;10
18;-2
-3;7
-8;-12
6;7
-14;0
5;9
-6;-11
11;-10
-9;-14
-8;11
-9;7
6;-5
-10;5
-4;-13
-9;-8
6;4
-16;-1
7;-8
-10;-10
5;13
9;-11
10;-11
9;3
7;10
-10;-13
11;-11
-3;3
3;-5
3;6
-6;9
-16;11
7;8
4;10
-5;-10
-12;6
9;4
3;8
-11;9
-15;7
8;-1
-10;-10
3;8
9;3
12;10
8;6
11;16
-2;-9
-4;-9
3;11
-6;-10
-2;-11
11;8
-8;6
-9;4
1;6
-7;-7
6;8
0;-13
6;-4
12;-4
16;4
6;-11
-12;-9
5;-13
6;-7
-9;-7
7;-6
-5;-7
6;7
-10;7
10;-13
-18;5
13;13
-11;-14
-5;-10
-10;5
-6;-10
13;-10
-10;-11
5;10
-8;7
-8;7
-7;-14
-11;8
-14;5
-11;9
-7;7
-10;-12
-9;0
6;5
9;4
-11;9
-8;2
-10;2
-8;11
10;-9
9;-10
12;0
-12;14
12;-8
-6;-11
-8;-13
-9;-7
0;9
-14;9
-3;-11
5;6
7;-5
7;-5
8;13
5;10
-7;-11
-12;-10
11;-6
4;14
-11;5
-12;-11
-9;3
-15;11
-7;-15
-11;-15
9;10
4;11
8;-9
7;-5
4;10
8;-14
-7;7
-2;-9
-16;-13
6;-16
7;7
11;0
-12;-13
-6;-7
-4;-1
-13;-14
6;-10
-9;13
6;-8
12;-12
1;8
-12;-11
6;12
-11;7
-11;7
1;-8
9;-11
-10;-8
-10;-10
9;7
-11;2
-9;-11
-12;11
9;-7
3;10
-6;8
