real;imag
10;7
-10;3
9;6
4;11
-18;-14
7;-11
-13;10
-11;-2
-5;-8
11;-6
-12;5
7;10
14;-6
-4;-10
-8;-18
10;-7
11;-16
-14;9
-1;5
8;-16
4;6
13;10
-7;6
-11;7
5;11
11;-14
14;-9
-2;-12
3;11
7;3
-11;16
-12;-12
-13;6
-12;-9
8;10
13;18
12;7
8;-11
9;-4
9;-12
5;-15
-5;-11
10;8
-19;-8
-9;-14
13;15
3;10
11;-8
11;-5
7;-13
12;9
11;-8
-8;-9
13;-7
2;7
5;13
-2;16
-10;-6
-13;13
-6;-19
11;-5
-9;-1
12;-11
-10;-10
-12;15
10;-12
-12;-13
6;-13
-6;5
9;-14
-11;-17
8;8
11;5
-9;7
3;8
6;-11
-11;9
7;-7
9;-9
8;-6
8;-8
6;9
5;9
-9;1
4;9
4;-10
5;-6
8;0
7;-10
9;11
-11;4
-16;5
-9;8
-7;-14
6;-5
-12;9
-13;15
14;-11
-10;-13
-14;11
-12;-17
6;15
9;5
13;15
-9;13
-16;11
11;-5
-11;8
10;-5
9;-14
-10;5
6;13
-5;12
7;13
-5;-10
16;0
8;7
-17;2
8;-12
8;7
-4;5
9;-11
5;-7
-7;-15
-9;8
5;9
-10;7
-8;-15
9;14
-5;-13
-4;-12
6;12
-11;5
-5;-12
-9;-14
10;-6
9;-8
3;-4
-11;6
3;4
-14;-8
8;6
-7;-6
-7;-15
-9;-9
9;-13
9;2
-5;13
5;-11
8;-12
-19;-15
10;12
-14;11
-13;6
9;14
-8;-9
-7;6
7;-12
11;-16
-10;11
12;-15
13;-12
5;8
-9;-15
11;6
8;-14
6;11
-4;-12
-12;-11
-11;-9
1;11
11;-10
10;10
4;14
-11;4
-8;7
-6;-13
-15;11
1;15
8;17
-9;-13
9;-13
-14;5
-3;9
-9;5
10;14
-11;4
-13;12
8;10
12;7
6;6
12;-10
9;12
10;10
7;8
3;10
7;-16
-11;9
-9;5
6;7
-9;7
7;-5
-6;0
-7;6
4;11
-9;-13
-7;8
7;-6
5;-4
1;-10
-15;-11
-10;8
-15;11
18;-12
-13;-6
18;13
15;5
10;9
9;12
8;-7
-12;11
-6;-12
7;7
-16;12
-6;7
-7;10
10;13
10;11
-8;3
4;11
6;-5
-4;-15
-11;2
3;3
7;9
-4;-9
-7;-12
-16;7
-17;14
-8;-10
-12;5
-19;6
8;-8
8;-13
-11;2
8;13
11;15
9;14
9;-10
0;10
-13;6
5;-10
-10;-10
-7;11
12;7
-8;-10
9;6
-17;5
-4;4
15;7
2;4
-6;-10
-11;2
-9;-8
5;-9
-11;-10
-7;10
3;-10
5;-8
-9;5
9;6
4;6
-7;-10
3;3
8;-12
1;8
-10;1
4;7
-9;-11
7;7
12;3
11;5
7;-16
-4;6
-15;-8
-11;-12
9;-15
7;12
-18;11
7;7
-9;6
5;11
9;7
4;9
-11;11
-9;8
9;6
-3;7
-9;12
4;-6
-8;-7
2;4
9;5
6;-9
-9;7
8;5
-3;7
6;7
-8;5
-12;6
12;0
7;-1
-4;-5
-1;6
4;6
-7;-9
1;4
-14;7
-9;5
-9;-8
-9;-14
-13;8
5;8
-15;-9
-21;-14
-13;-13
-6;11
-3;10
-9;9
-11;9
-16;-8
-12;7
-9;-6
-13;10
-11;13
-14;-13
12;9
-16;-18
5;10
-13;9
-10;16
5;10
-12;-11
-3;-11
10;10
-14;-10
9;-5
-5;-13
7;10
10;5
-3;-2
-9;9
-13;-9
5;1
7;-8
3;7
7;-6
10;8
-4;-7
4;-5
2;-11
-13;9
-10;-3
-3;8
-11;4
-8;3
-5;-5
4;-8
-12;-7
3;-7
-5;-6
9;-3
-4;-7
-7;-12
4;7
-6;-8
9;-10
7;-6
-8;3
8;-8
-13;-3
3;6
-9;-13
1;-6
6;-17
4;5
-12;-5
9;-10
-17;-11
-10;13
4;-7
-15;8
12;12
8;-11
5;-7
-15;-6
-14;-14
-13;-10
-16;-9
7;10
2;13
-13;9
8;-9
5;-12
-14;7
-11;6
-16;5
-6;-12
7;-7
11;-7
-8;-12
6;11
-10;6
-4;6
-11;-9
10;7
-11;5
-5;10
5;6
-6;-9
-11;-4
-8;11
4;-8
2;-9
-4;-5
8;-7
-7;5
3;-5
7;-9
-5;2
-3;-15
-6;-10
-13;-9
4;-5
7;-4
-11;2
-11;9
-7;9
5;-1
-10;-6
-12;10
-2;8
-11;6
-10;6
-10;-3
-5;12
7;4
-7;11
-13;-11
-9;-9
-13;-11
-5;10
-12;7
-5;8
15;7
-3;-2
-13;-12
8;-7
-13;-14
-15;4
-11;11
8;-14
-17;4
-15;-16
10;-12
5;3
4;10
10;8
-9;8
6;-9
-14;7
4;5
7;-10
-5;4
5;-11
-7;8
-14;-4
-6;9
6;9
-6;-9
-7;-3
10;3
-12;-4
7;-10
0;-5
7;-6
7;4
10;-10
8;-6
-10;-7
-9;6
9;-4
-8;8
-6;9
-12;5
0;10
-7;-5
-8;9
-7;10
6;3
-6;-16
-9;-6
6;-10
-9;2
-7;13
10;3
-11;-7
8;11
14;8
-16;10
-19;-11
-14;-10
-13;-8
-16;-7
12;10
-13;7
10;-11
9;-15
-5;-7
13;4
3;8
-12;7
8;11
-13;13
7;-8
-8;-16
-10;11
10;-12
12;-9
10;6
7;-9
9;-11
-8;-8
-6;9
7;-10
-11;9
-6;-7
-7;-3
-13;-11
2;-12
-7;5
-15;-12
13;13
-13;-2
-11;8
7;8
15;-10
-8;-10
-10;6
3;11
2;14
11;-9
10;-13
-8;12
-10;-9
-15;-15
6;8
0;14
3;-9
-13;-7
3;3
-7;-6
-6;-10
6;-3
-10;-9
7;7
-7;2
3;3
-4;-6
4;3
8;-4
-8;-5
5;6
-2;12
11;14
0;-7
11;17
-8;6
-13;5
10;-8
-12;2
-9;14
8;-9
-5;3
-2;4
-6;-10
11;-8
-10;3
10;-13
2;11
-5;-9
-11;-9
9;8
13;5
-11;-10
-9;14
8;12
-8;6
-8;10
-9;14
-1;7
-7;7
-10;4
13;5
9;-12
-9;14
-5;-8
-13;-1
-7;5
10;5
-11;6
-13;-9
-5;1
-6;-11
-14;-11
10;-11
-8;-12
5;-6
6;7
-4;-8
-8;2
6;7
6;0
-5;3
8;-9
4;3
-4;4
3;-8
4;-6
-6;6
-8;11
8;-7
-14;-15
-8;-10
3;-10
-13;9
5;9
8;-10
7;12
5;3
-8;-8
11;-11
-4;-15
13;-10
-10;-11
8;6
5;-3
2;9
-1;7
-11;8
-12;-13
11;-6
6;-9
4;9
-8;-7
4;-12
-9;1
-10;7
2;-10
9;-9
10;8
-12;-3
-10;11
11;12
14;5
-10;11
-12;-8
9;-8
-14;-5
12;4
7;8
3;7
7;5
-3;-4
-5;-7
-8;-6
8;-5
-9;4
-8;5
7;-8
-9;-7
3;4
5;6
4;6
5;3
5;7
-7;-7
-6;4
-5;4
-6;-4
