real;imag
8;10
-15;-9
-7;-4
9;12
-8;-10
-9;9
-12;-10
9;-12
-8;8
-10;-8
6;8
-5;9
8;-5
-14;8
7;-11
-6;-8
9;12
-10;3
-5;0
-3;9
6;4
-13;3
-7;5
-8;-19
3;11
-12;-21
-14;10
-12;-22
8;6
19;-3
8;5
17;-9
10;-9
9;-11
-11;-14
11;-15
-11;-17
-5;-10
-6;12
-9;-7
14;10
-11;-3
12;-8
6;-12
-6;5
-4;-8
6;-10
2;-10
-6;-5
-12;-3
-9;6
-6;-6
-6;-5
8;5
13;7
11;-6
6;8
6;-10
10;-9
-9;-5
-6;3
-11;4
-13;5
-12;-9
7;12
7;-4
3;12
-7;-10
-3;-5
-5;-14
-8;-12
3;-6
-14;4
-11;-6
-5;-13
-5;9
-5;7
11;-10
-10;-17
9;-8
8;-6
-10;-11
-9;-11
-14;12
4;-6
7;14
7;4
-6;3
-7;-4
9;2
12;-10
-10;-7
9;-10
-5;7
-7;-9
-5;-7
-9;4
5;-11
9;6
-8;-1
2;3
7;9
11;-3
12;11
-13;9
11;10
-1;-12
4;-10
12;9
5;2
-5;10
-8;10
-8;-3
11;4
5;-6
7;7
9;6
-11;-11
7;5
6;8
-11;-9
-9;4
4;8
2;10
8;-11
-4;8
-5;-9
5;4
-10;-12
-12;4
-9;-9
-8;9
-6;5
8;-10
7;13
-13;5
-11;7
1;-12
-10;-6
-14;-11
-13;-13
11;-7
10;-9
22;-13
-5;10
-10;6
13;13
-16;-15
20;12
-12;13
-9;-4
-14;6
-8;-9
9;-12
8;12
8;-4
-7;6
-11;7
10;-8
12;13
-6;-9
-11;10
11;-8
6;5
7;-13
1;-7
-8;-6
13;9
-10;-8
9;4
-6;9
-13;7
8;-11
-6;12
5;-5
6;-8
-10;-7
6;6
-12;9
-8;-15
9;-9
-9;-13
-2;-12
-4;8
6;-5
6;-11
9;-10
6;-4
-14;8
1;6
8;-3
5;-5
8;-6
-5;-11
6;-3
-8;-6
-10;-8
8;-14
15;-10
-11;-14
8;8
-16;-1
-10;1
-15;10
10;-9
-16;8
-3;8
7;-22
-17;11
-9;9
-10;-5
-9;8
-9;-12
6;-9
6;-13
-5;12
11;11
-3;11
-12;-13
6;-4
-8;6
6;7
7;-7
8;3
-7;7
-13;8
-5;-6
-10;5
-13;-8
-6;15
2;5
8;4
7;-7
7;-10
-7;-11
9;-9
-9;6
5;-11
4;-7
8;13
9;-11
-9;8
9;-10
-15;10
-6;-8
-8;-8
3;9
6;8
-12;-11
-8;-8
-9;-8
-11;11
-11;8
7;-7
-12;4
15;-6
-11;5
12;-11
4;8
-8;-4
-2;-14
12;8
9;14
12;-20
15;10
-16;-14
8;7
-11;10
13;4
-19;-13
8;-8
-8;-9
-8;6
-6;8
7;-7
-10;5
-7;-7
-8;-15
4;11
-11;11
11;-16
-7;-14
3;3
8;-9
9;-8
5;11
12;9
-12;-11
8;-8
5;13
8;-10
1;8
-8;2
-8;3
3;3
4;7
-9;-9
-12;13
14;8
12;8
-10;12
-6;9
11;-12
-5;-12
2;3
2;8
9;12
5;10
2;8
-7;-9
-8;-8
8;6
-6;-6
-7;-6
3;5
-11;14
-10;5
2;11
-5;-11
3;10
-4;-14
14;-11
5;-4
9;9
7;-9
-5;-13
5;-4
8;-6
-9;-9
9;-9
-5;-10
18;10
-10;6
10;-7
-8;6
11;16
-9;-10
-5;-15
-11;11
-7;-8
9;-5
-9;-10
9;10
-13;8
-9;5
-6;-10
-7;4
-13;6
-6;4
-9;3
-7;-9
-9;6
7;5
6;9
-12;7
-10;9
-9;9
-5;0
5;-13
10;-11
8;-8
-5;6
6;-4
-5;-9
-8;-8
-12;-11
12;9
-15;11
-9;-6
4;8
6;-5
9;-6
3;10
6;10
-9;-5
-5;-7
10;-7
8;5
-15;4
-7;-11
-15;7
-15;6
-16;-13
-12;-7
5;7
10;13
5;-4
9;-6
9;13
7;-9
-6;3
-10;-11
-11;-12
14;-8
7;7
8;4
-11;-13
-11;-19
-16;13
-4;-13
12;-7
-9;2
10;-14
12;-11
4;10
-9;-10
5;3
-9;7
-8;4
12;-7
10;-2
-8;-12
-6;-12
7;14
-9;4
-1;-5
-3;5
5;-12
5;9
-8;-4
15;-5
-7;-12
11;-10
6;-12
5;-8
11;-8
4;10
3;5
5;-7
-10;-9
6;7
10;-7
7;-7
-7;6
7;-1
4;8
9;10
1;8
-8;-10
12;-5
-11;5
-9;2
5;-13
-14;1
12;-9
-10;-17
-8;-13
6;14
16;11
-7;-18
18;-1
-19;10
11;-3
10;-18
7;12
4;-9
-7;-14
-5;-14
11;-14
9;9
-13;8
9;-10
7;9
6;8
5;7
-9;7
11;-3
-10;4
-8;4
-4;-10
13;-6
8;3
5;-7
-12;-11
1;-7
-4;-13
-13;7
5;-12
-12;-12
-16;13
5;-7
-5;15
12;-8
-10;-12
-6;9
4;-12
8;5
-2;-14
8;11
7;-7
-8;-10
3;10
-9;-4
7;10
-8;8
7;-4
-3;-13
-13;7
10;15
-17;5
-12;0
1;12
6;-2
-11;6
-7;-11
5;5
-7;-9
-10;-13
3;-1
-12;7
-17;-11
-14;6
13;-9
7;13
6;-10
12;-20
9;14
-14;9
-8;-14
-10;11
10;-10
-13;-17
-8;-12
