real;imag
-10;7
-6;-6
11;-4
4;-8
-14;-6
-9;7
6;7
8;4
-7;6
6;-7
6;-4
8;-8
10;12
-9;-6
2;10
-9;11
-14;-3
-10;6
11;-6
-8;1
1;4
14;-3
6;5
5;5
-7;-8
-7;-8
-14;-7
9;3
10;3
9;-7
9;-11
5;6
-7;5
-8;6
6;9
-8;-8
10;-7
7;-6
-4;8
-10;7
-2;-7
5;9
8;5
3;-10
-6;-6
5;-9
10;8
3;-13
1;-12
9;12
10;-11
3;6
-14;-6
3;-8
-9;3
-8;7
-10;14
5;7
11;-10
10;7
13;-12
-14;13
-2;9
-11;4
-5;6
4;7
-10;2
-1;8
-11;6
1;-8
-11;5
8;-11
5;7
-5;-12
8;-6
5;-5
-10;5
2;-7
4;4
8;-9
10;2
11;4
3;7
-7;8
2;-16
3;-14
7;-13
7;-13
14;11
18;8
-10;-14
0;-10
-6;-15
-12;3
8;-8
-6;-13
-9;1
13;-10
-7;9
-7;-5
-8;3
10;2
-5;10
-14;6
-10;5
8;10
-9;-11
7;-11
-6;5
-11;7
4;3
-9;6
1;-8
-10;-7
-13;4
-10;-7
-8;-9
7;8
10;5
4;11
6;15
-7;-5
-8;-14
9;-5
3;7
-8;-9
2;7
-11;3
-4;-13
-9;-13
-11;6
-13;0
-17;10
9;-11
-11;-7
-5;5
-6;-9
3;7
6;8
-10;7
-12;3
-5;8
-6;-9
9;7
-8;-6
-17;-4
5;7
-9;-12
-1;-1
8;3
7;-6
-16;7
-4;-14
12;-8
-6;7
7;-6
-13;-4
-8;7
8;-12
6;10
5;-7
-10;-13
-4;-9
-10;6
-10;-9
-11;-8
8;5
-8;-10
6;6
-10;-2
-11;-5
-12;8
4;-10
6;-10
4;-9
9;9
8;-10
9;7
-12;6
9;13
6;6
10;7
-8;-6
9;-11
8;-10
-10;-1
4;8
7;11
-7;-9
-11;5
-10;-10
-8;3
-10;-13
-8;-13
-17;3
7;-7
6;-7
5;6
-10;-7
-9;-5
6;4
-7;-10
7;-10
4;-9
6;-11
6;-13
7;-13
5;-6
-13;-10
-12;12
-13;9
10;-7
-12;6
-9;-11
5;9
10;12
4;-6
-7;-17
6;-10
-9;9
7;6
6;-10
-5;-8
-8;10
11;4
-9;-5
-12;-6
-5;-11
0;6
-10;0
-8;-6
-8;8
8;11
10;-15
-8;-13
-13;-6
7;7
9;11
-15;9
-9;-15
-15;3
6;10
-16;1
-12;1
9;-11
7;9
7;9
-10;6
-12;3
-1;-12
-16;5
-8;4
9;-5
2;8
6;7
7;-13
-11;-10
-7;-8
-8;-5
-8;5
-7;-8
9;5
7;9
4;-12
-4;11
4;5
6;10
11;-10
8;-7
-9;6
5;-8
-1;8
3;8
-11;-14
9;5
-11;-6
7;9
-13;-9
-9;-7
4;-10
8;-10
8;-6
7;-4
-10;3
5;7
6;9
-10;0
-4;-11
5;8
4;4
-10;-12
0;0
-5;-11
-4;-10
5;-9
4;4
6;-6
7;-11
-3;6
11;7
7;1
-9;8
10;9
10;10
11;-12
-12;-14
6;10
-9;9
-13;4
-11;9
6;-12
5;4
5;6
6;-8
7;8
4;-9
-8;7
-13;-6
9;-8
-9;-11
7;3
6;6
-8;6
-5;-6
7;-7
-9;6
-9;5
9;-5
8;-3
2;5
4;11
5;5
-9;2
6;-6
-12;-5
-11;4
-11;5
-11;-11
-2;-2
-11;3
-9;6
6;-9
-7;3
-8;4
-7;-5
-11;7
-8;5
6;-3
-5;6
6;5
-10;2
3;7
12;4
5;-14
-8;-12
9;8
-9;-10
-12;-7
2;-9
-11;-11
-7;-18
-7;11
6;12
-10;-3
-5;5
6;13
