real;imag
8;10
-5;-7
-11;-5
7;8
-7;-2
-10;8
-7;-10
9;-10
-5;1
-12;-13
6;7
-13;2
7;-8
-7;13
4;-8
-12;-9
7;10
-5;8
-8;5
-12;5
2;10
-13;2
-7;3
-2;-8
6;5
-3;-13
-3;10
-11;-11
7;3
3;-12
4;10
7;-5
2;-6
3;-4
-12;-5
6;-9
-8;-8
-8;-8
-6;5
-6;-6
5;7
-9;-2
9;-11
9;-10
-8;7
-10;-6
8;-9
8;-12
-12;-3
-11;-13
-11;3
-7;-10
-10;-8
7;9
7;11
7;-5
7;9
2;-17
5;-9
-9;-10
-12;10
-12;7
-8;14
-7;-8
9;11
4;-11
6;8
-9;-9
-6;-8
-9;-7
-3;-6
4;-6
-6;7
-3;-7
0;-11
-12;2
-12;-3
10;-6
-8;-10
7;-5
8;-5
-4;-11
-10;-9
-9;5
6;-9
9;7
8;6
-15;3
-11;-7
9;4
12;-9
-8;-8
7;-9
-6;13
-11;-5
-9;-8
-6;7
9;-6
5;6
-7;-5
6;8
10;5
2;-7
5;7
-14;7
2;7
7;-8
9;-6
13;5
0;9
-9;2
-6;8
-5;-2
5;8
7;-16
6;5
15;10
-12;-14
7;4
2;8
-13;-9
-8;12
5;2
3;8
4;-12
-10;6
-12;-12
7;13
-2;-10
-7;6
-4;-15
-13;5
-7;4
8;-9
3;6
-13;0
-4;1
7;-4
-8;-8
-4;-9
-8;-8
8;-7
7;-8
7;-10
-5;10
-10;4
1;1
-9;-8
9;4
-6;11
-14;-7
-7;8
-9;-7
4;-7
7;0
5;-5
-7;11
-8;7
5;-4
2;11
-11;-6
-7;4
10;-10
4;3
5;-9
5;-8
-9;-8
7;8
-8;-10
0;9
-10;-1
-12;10
17;-9
-10;2
16;-6
12;-12
-8;-8
11;8
-9;10
-12;-10
6;-13
-15;-4
-8;-8
-5;5
7;-12
10;-9
7;-2
9;-2
-9;5
3;8
10;-4
8;-9
14;-11
-8;-11
6;-13
-4;-12
0;-9
7;-4
12;-5
-1;-11
4;11
-11;6
-9;10
-6;11
6;-11
-11;10
-10;6
5;-9
-4;5
-7;14
-9;-7
-4;7
-10;-3
5;-5
3;-7
-8;10
6;8
-6;8
-9;-10
9;-12
-10;9
8;1
-1;1
10;6
-11;5
-6;5
-9;-11
-5;5
-7;-11
-9;3
10;7
2;5
13;-3
8;-5
-8;-13
11;-9
-11;7
5;-3
10;-5
8;8
8;-16
-2;12
11;-3
-8;6
-7;-6
-8;-6
8;7
1;4
-8;-8
-15;-9
-7;-11
-9;0
-7;6
11;-3
-12;2
7;-7
-9;2
6;-8
-1;6
-6;-10
-6;-12
3;5
7;5
2;-6
9;11
-11;-4
5;9
-7;12
8;3
-7;-4
9;-10
-6;-12
-10;6
-8;8
6;-9
-8;5
-6;-9
-7;-7
4;6
-10;7
12;-4
-7;-8
7;13
13;-12
8;-1
8;12
0;9
-13;-21
8;-7
9;17
18;-15
3;16
-10;11
-22;8
8;5
12;8
-16;-10
-12;10
13;4
13;6
-11;3
-12;10
10;-8
-10;-8
8;7
7;6
6;8
4;4
5;9
-12;-6
-13;-6
7;8
-10;-6
-11;-8
4;9
-7;2
-6;10
8;8
-4;-8
5;8
-3;-8
9;-8
8;-8
1;12
18;-5
-11;-15
13;-8
11;-8
-13;-14
9;-13
-4;-12
8;12
-9;10
9;-7
-21;3
12;5
-10;-15
-1;-13
-14;14
-14;-9
8;-8
-12;-14
7;4
-9;4
-11;6
-13;-14
-12;8
-19;7
-7;13
-7;4
-7;-11
-7;13
11;12
10;7
-9;14
-12;13
-6;9
-8;9
1;-11
4;-14
11;-13
-9;10
10;-8
-10;-5
-6;-7
-5;-11
5;9
-9;8
-6;-6
8;1
3;-9
2;-10
3;9
8;3
-5;-10
-4;-6
7;-7
7;7
-13;7
-7;-11
-11;3
-13;8
-9;-16
-6;-9
5;14
9;11
9;-9
7;-4
7;12
4;-7
-12;7
-10;-9
-14;-14
4;-14
5;10
6;18
-6;-12
-15;-11
-14;13
-13;-15
16;-7
-18;6
8;-11
12;-9
11;14
-18;-11
3;7
-9;7
-4;11
16;-10
13;-7
-15;-7
-7;-11
7;6
-10;16
-7;-10
-10;12
2;-15
10;6
-9;9
11;0
-9;-9
12;-11
5;-4
6;-7
6;-4
5;4
7;1
5;-12
-10;-8
5;4
6;-5
4;-6
-5;8
9;-2
2;6
6;8
2;6
-12;-10
7;-5
-8;4
-11;5
10;-15
-8;1
9;-7
-8;-11
-8;-15
8;14
9;4
-9;-9
9;-13
-15;7
13;-12
10;-5
4;11
14;-8
-3;-13
-9;-10
15;-9
6;4
-13;9
8;-11
6;10
4;13
5;16
-11;3
11;-11
-13;14
-8;2
-13;-8
4;-11
7;8
8;-12
-10;-7
5;-16
-12;-5
-6;10
8;-15
-12;-12
-11;18
7;-12
-5;8
7;-11
-10;-13
-10;7
5;-7
10;9
-3;-5
5;3
9;-8
-9;-11
5;1
-11;-6
4;6
-9;7
4;-11
-11;-9
-8;5
2;8
-10;7
-14;10
6;10
7;-6
-10;9
-11;-16
7;10
-13;-10
-10;-12
11;-8
-10;8
-6;-14
-12;5
7;-7
13;11
7;-12
14;-14
5;13
-11;3
-15;-10
-9;7
10;-11
-6;-18
-13;-11
-11;7
-9;1
-14;3
6;14
-10;-14
-18;-12
6;-8
-2;9
-16;14
3;-9
11;-10
-7;12
-5;14
8;4
-4;12
-15;-8
7;-17
-5;-10
7;-6
4;-5
8;-4
3;6
7;-3
-6;-6
6;-9
-10;7
-5;0
9;-10
-7;6
8;5
-7;-15
-11;-8
-5;-11
-10;2
-7;-11
9;-5
3;8
-1;12
7;-13
12;4
11;-7
10;-12
-11;4
-8;12
-14;4
7;13
11;-11
7;-4
8;-5
-7;4
-5;-10
-10;3
-9;8
4;-7
-10;4
10;-10
6;5
4;-6
6;6
-3;-10
9;-7
6;12
-3;-9
-5;6
4;8
-9;7
5;6
6;7
1;6
-10;-11
10;-7
5;-9
-9;-10
-9;-8
-9;5
5;5
10;-10
7;7
2;10
7;-6
4;-6
2;-6
-10;11
-10;7
-6;-6
-7;-8
10;11
0;-7
-9;8
-12;-14
-10;11
7;-10
7;-11
1;9
-8;-24
11;9
-18;9
13;5
-11;-4
