real;imag
-14;5
4;-8
-8;7
-14;-9
4;6
9;-9
-7;-8
-8;4
-13;3
6;-6
-1;12
-9;-14
7;4
-7;-8
-16;-9
4;-12
8;-10
-9;-14
7;-10
8;-6
11;-7
12;-8
-3;7
-18;6
2;8
11;-6
0;13
-10;5
4;11
9;-5
-10;8
-13;13
-7;11
-10;13
8;14
6;-8
7;11
2;-5
7;13
6;-10
4;8
-8;10
8;-10
-12;3
-6;-11
7;-5
7;-13
6;-10
11;-5
6;-6
6;-6
10;-3
-11;8
8;8
9;7
15;-9
6;10
-8;3
-11;10
-4;-12
10;9
-6;-8
10;10
-9;10
-12;-14
11;7
-16;-12
4;1
-12;-14
8;-7
-16;2
17;-10
7;5
-13;6
11;-15
10;-11
-5;-7
7;3
11;-5
5;-7
9;9
6;9
9;-3
-3;-12
6;8
11;-3
11;-4
-4;11
9;-4
11;-4
-10;-17
-8;10
-8;13
-7;10
10;5
-8;12
-8;12
10;-9
-8;5
-7;-11
5;-7
8;5
-1;-8
12;-2
7;-4
-9;-16
0;7
13;7
4;-3
-3;-10
-10;6
10;12
-5;-14
8;-8
10;-10
7;-8
-4;8
-10;2
-11;-11
-8;-10
-13;6
-11;-14
-13;-13
-9;-11
8;1
-12;10
4;7
-3;-15
7;10
4;-3
11;-4
5;13
2;-1
12;-8
10;-11
-10;6
-6;-9
3;3
-6;-10
6;12
-5;1
8;9
7;11
5;-8
9;7
-2;-10
-12;1
15;-7
9;8
-9;-15
-6;-11
-10;15
-9;-11
-9;-7
11;7
3;-10
-10;10
-8;10
8;7
8;0
4;10
-10;-2
5;8
-6;-8
-9;3
9;-9
-12;9
4;8
7;6
11;-9
7;11
-6;-12
-16;7
-4;-16
6;-3
-7;3
8;-10
6;8
11;10
-9;6
-11;-10
13;7
7;10
8;-10
-11;7
-4;-9
-11;2
6;11
8;-11
7;6
6;-10
11;0
10;13
-11;3
-6;4
8;-7
10;-3
9;-6
-5;-6
-5;-10
-12;3
-3;-9
5;4
-10;4
-5;3
-4;-15
-5;-12
-5;3
-2;-10
5;14
-13;11
11;14
-7;8
-12;-11
10;-7
8;-6
-9;8
-4;11
10;-7
8;12
-10;6
4;7
-4;-10
9;5
11;-2
9;-5
-8;6
2;4
2;-5
-8;11
7;8
6;-2
6;12
0;10
10;8
5;-7
-1;-7
9;11
4;7
-5;-7
-8;10
13;9
12;-7
-10;-14
6;3
-10;5
11;8
-17;9
9;-7
5;15
-7;8
-4;-15
-4;-8
-15;1
-11;3
-4;-11
-15;6
5;7
5;12
-7;-10
11;-13
5;17
6;2
10;-4
-5;-7
-7;-10
-15;8
-12;7
10;-6
13;-4
-10;7
-17;9
6;10
-14;-9
12;-11
12;-8
-10;-10
-13;-8
-13;8
2;10
-16;4
15;-8
12;-4
15;-5
6;-11
-5;-13
2;9
13;-14
-15;10
18;8
8;-14
8;7
